"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","3.257"
"Paraná","Positivo / Detectável","1.171"
"Paraná","Inconclusivo / Indeterminado",14
"São Paulo","Negativo / Não Detectável","1.966"
"São Paulo","Positivo / Detectável","1.180"
"São Paulo","Inconclusivo / Indeterminado",22
Bahia,"Negativo / Não Detectável","1.436"
Bahia,"Positivo / Detectável",784
Bahia,"Inconclusivo / Indeterminado",26
"Mato Grosso","Negativo / Não Detectável",677
"Mato Grosso","Positivo / Detectável",450
"Mato Grosso","Inconclusivo / Indeterminado",13
"Minas Gerais","Negativo / Não Detectável",750
"Minas Gerais","Positivo / Detectável",284
"Minas Gerais","Inconclusivo / Indeterminado",12
"Rio Grande do Sul","Negativo / Não Detectável",683
"Rio Grande do Sul","Positivo / Detectável",268
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",472
"Espírito Santo","Positivo / Detectável",436
"Espírito Santo","Inconclusivo / Indeterminado",20
"Santa Catarina","Negativo / Não Detectável",553
"Santa Catarina","Positivo / Detectável",360
"Santa Catarina","Inconclusivo / Indeterminado",3
"Rio de Janeiro","Negativo / Não Detectável",659
"Rio de Janeiro","Positivo / Detectável",234
"Rio de Janeiro","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável",705
"Mato Grosso do Sul","Positivo / Detectável",174
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável",568
"Ceará","Positivo / Detectável",245
"Ceará","Inconclusivo / Indeterminado",3
Sergipe,"Positivo / Detectável",665
Sergipe,"Negativo / Não Detectável",130
Pernambuco,"Negativo / Não Detectável",421
Pernambuco,"Positivo / Detectável",255
Pernambuco,"Inconclusivo / Indeterminado",6
"Rondônia","Positivo / Detectável",363
"Rondônia","Negativo / Não Detectável",239
"Rondônia","Inconclusivo / Indeterminado",17
"Piauí","Negativo / Não Detectável",252
"Piauí","Positivo / Detectável",208
"Piauí","Inconclusivo / Indeterminado",21
"Rio Grande do Norte","Positivo / Detectável",275
"Rio Grande do Norte","Negativo / Não Detectável",162
"Goiás","Negativo / Não Detectável",152
"Goiás","Positivo / Detectável",127
Acre,"Positivo / Detectável",136
Acre,"Negativo / Não Detectável",129
Acre,"Inconclusivo / Indeterminado",3
"Pará","Negativo / Não Detectável",180
"Pará","Positivo / Detectável",70
Amazonas,"Negativo / Não Detectável",186
Amazonas,"Positivo / Detectável",40
Roraima,"Positivo / Detectável",168
Roraima,"Negativo / Não Detectável",49
"Maranhão","Negativo / Não Detectável",161
"Maranhão","Positivo / Detectável",50
"Amapá","Positivo / Detectável",118
"Amapá","Negativo / Não Detectável",54
"Amapá","Inconclusivo / Indeterminado",4
Tocantins,"Positivo / Detectável",97
Tocantins,"Negativo / Não Detectável",73
"Paraíba","Negativo / Não Detectável",89
"Paraíba","Positivo / Detectável",70
Alagoas,"Positivo / Detectável",48
Alagoas,"Negativo / Não Detectável",43
"Distrito Federal","Positivo / Detectável",4
"Distrito Federal","Negativo / Não Detectável",3
