"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.985"
"São Paulo","Positivo / Detectável",169
"São Paulo","Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",652
"Paraná","Positivo / Detectável",115
"Minas Gerais","Negativo / Não Detectável",566
"Minas Gerais","Positivo / Detectável",48
"Minas Gerais","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",387
Bahia,"Positivo / Detectável",77
"Santa Catarina","Negativo / Não Detectável",290
"Santa Catarina","Positivo / Detectável",38
"Santa Catarina","Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",190
"Espírito Santo","Positivo / Detectável",11
"Rio Grande do Sul","Negativo / Não Detectável",180
"Rio Grande do Sul","Positivo / Detectável",20
Pernambuco,"Negativo / Não Detectável",153
Pernambuco,"Positivo / Detectável",28
"Rio de Janeiro","Negativo / Não Detectável",161
"Rio de Janeiro","Positivo / Detectável",9
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",137
"Goiás","Positivo / Detectável",17
"Mato Grosso do Sul","Negativo / Não Detectável",128
"Mato Grosso do Sul","Positivo / Detectável",5
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",100
"Ceará","Positivo / Detectável",25
"Ceará","Inconclusivo / Indeterminado",2
"Piauí","Negativo / Não Detectável",95
"Piauí","Positivo / Detectável",18
"Piauí","Inconclusivo / Indeterminado",2
"Rio Grande do Norte","Negativo / Não Detectável",84
"Rio Grande do Norte","Positivo / Detectável",14
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",70
"Maranhão","Positivo / Detectável",18
Amazonas,"Negativo / Não Detectável",52
Amazonas,"Positivo / Detectável",13
Amazonas,"Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",54
"Pará","Positivo / Detectável",9
Sergipe,"Negativo / Não Detectável",46
Sergipe,"Positivo / Detectável",10
"Paraíba","Negativo / Não Detectável",43
"Paraíba","Positivo / Detectável",10
"Amapá","Negativo / Não Detectável",40
"Amapá","Positivo / Detectável",10
Alagoas,"Negativo / Não Detectável",38
Alagoas,"Positivo / Detectável",2
"Rondônia","Negativo / Não Detectável",35
"Rondônia","Positivo / Detectável",4
Acre,"Negativo / Não Detectável",26
Acre,"Positivo / Detectável",2
"Mato Grosso","Negativo / Não Detectável",23
"Mato Grosso","Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",20
Roraima,"Negativo / Não Detectável",12
