"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",501
"São Paulo","Positivo / Detectável",219
"São Paulo","Inconclusivo / Indeterminado",5
"Ceará","Positivo / Detectável",440
"Ceará","Negativo / Não Detectável",175
"Ceará","Inconclusivo / Indeterminado",2
Bahia,"Negativo / Não Detectável",375
Bahia,"Positivo / Detectável",170
Bahia,"Inconclusivo / Indeterminado",16
"Rio de Janeiro","Positivo / Detectável",264
"Rio de Janeiro","Negativo / Não Detectável",214
"Rio de Janeiro","Inconclusivo / Indeterminado",4
Sergipe,"Negativo / Não Detectável",240
Sergipe,"Positivo / Detectável",223
"Espírito Santo","Positivo / Detectável",220
"Espírito Santo","Negativo / Não Detectável",217
"Espírito Santo","Inconclusivo / Indeterminado",4
Pernambuco,"Positivo / Detectável",234
Pernambuco,"Negativo / Não Detectável",183
Pernambuco,"Inconclusivo / Indeterminado",3
"Amapá","Positivo / Detectável",339
"Amapá","Negativo / Não Detectável",75
"Amapá","Inconclusivo / Indeterminado",2
Alagoas,"Positivo / Detectável",236
Alagoas,"Negativo / Não Detectável",96
"Paraná","Negativo / Não Detectável",257
"Paraná","Positivo / Detectável",26
"Pará","Positivo / Detectável",183
"Pará","Negativo / Não Detectável",60
"Pará","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",195
"Minas Gerais","Positivo / Detectável",19
"Minas Gerais","Inconclusivo / Indeterminado",1
Acre,"Positivo / Detectável",123
Acre,"Negativo / Não Detectável",90
Acre,"Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",148
"Santa Catarina","Positivo / Detectável",43
"Santa Catarina","Inconclusivo / Indeterminado",2
"Paraíba","Positivo / Detectável",103
"Paraíba","Negativo / Não Detectável",87
"Rondônia","Negativo / Não Detectável",107
"Rondônia","Positivo / Detectável",80
"Rondônia","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",108
"Piauí","Positivo / Detectável",30
"Piauí","Inconclusivo / Indeterminado",3
"Maranhão","Positivo / Detectável",96
"Maranhão","Negativo / Não Detectável",38
"Rio Grande do Sul","Negativo / Não Detectável",106
"Rio Grande do Sul","Positivo / Detectável",22
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Positivo / Detectável",68
"Rio Grande do Norte","Negativo / Não Detectável",57
Tocantins,"Negativo / Não Detectável",73
Tocantins,"Positivo / Detectável",52
"Goiás","Negativo / Não Detectável",98
"Goiás","Positivo / Detectável",9
"Mato Grosso do Sul","Negativo / Não Detectável",71
"Mato Grosso do Sul","Positivo / Detectável",1
Roraima,"Positivo / Detectável",29
Roraima,"Negativo / Não Detectável",3
Amazonas,"Positivo / Detectável",5
Amazonas,"Negativo / Não Detectável",2
"Mato Grosso","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
