"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",890
"São Paulo","Positivo / Detectável",414
"São Paulo","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",933
Bahia,"Positivo / Detectável",291
Bahia,"Inconclusivo / Indeterminado",2
"Rio de Janeiro","Positivo / Detectável",730
"Rio de Janeiro","Negativo / Não Detectável",403
"Rio de Janeiro","Inconclusivo / Indeterminado",30
"Amapá","Negativo / Não Detectável",583
"Amapá","Positivo / Detectável",552
"Amapá","Inconclusivo / Indeterminado",16
Pernambuco,"Positivo / Detectável",621
Pernambuco,"Negativo / Não Detectável",439
Pernambuco,"Inconclusivo / Indeterminado",7
"Ceará","Positivo / Detectável",710
"Ceará","Negativo / Não Detectável",308
"Ceará","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",438
"Espírito Santo","Positivo / Detectável",306
"Espírito Santo","Inconclusivo / Indeterminado",13
Sergipe,"Positivo / Detectável",353
Sergipe,"Negativo / Não Detectável",242
"Paraná","Negativo / Não Detectável",511
"Paraná","Positivo / Detectável",25
"Paraná","Inconclusivo / Indeterminado",1
"Pará","Positivo / Detectável",348
"Pará","Negativo / Não Detectável",141
"Pará","Inconclusivo / Indeterminado",23
"Santa Catarina","Negativo / Não Detectável",339
"Santa Catarina","Positivo / Detectável",64
"Santa Catarina","Inconclusivo / Indeterminado",1
Alagoas,"Positivo / Detectável",284
Alagoas,"Negativo / Não Detectável",107
Amazonas,"Negativo / Não Detectável",230
Amazonas,"Positivo / Detectável",151
Amazonas,"Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",344
"Minas Gerais","Positivo / Detectável",34
"Minas Gerais","Inconclusivo / Indeterminado",3
"Rondônia","Negativo / Não Detectável",234
"Rondônia","Positivo / Detectável",116
"Rondônia","Inconclusivo / Indeterminado",3
"Maranhão","Positivo / Detectável",181
"Maranhão","Negativo / Não Detectável",136
"Paraíba","Negativo / Não Detectável",160
"Paraíba","Positivo / Detectável",143
"Mato Grosso do Sul","Negativo / Não Detectável",266
"Mato Grosso do Sul","Positivo / Detectável",19
"Rio Grande do Sul","Negativo / Não Detectável",197
"Rio Grande do Sul","Positivo / Detectável",56
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",116
"Rio Grande do Norte","Positivo / Detectável",112
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Tocantins,"Negativo / Não Detectável",165
Tocantins,"Positivo / Detectável",49
Acre,"Positivo / Detectável",119
Acre,"Negativo / Não Detectável",84
"Piauí","Negativo / Não Detectável",114
"Piauí","Positivo / Detectável",33
"Piauí","Inconclusivo / Indeterminado",2
"Goiás","Negativo / Não Detectável",122
"Goiás","Positivo / Detectável",18
"Mato Grosso","Negativo / Não Detectável",110
"Mato Grosso","Positivo / Detectável",20
Roraima,"Positivo / Detectável",89
Roraima,"Negativo / Não Detectável",17
"Distrito Federal","Negativo / Não Detectável",2
"Distrito Federal","Positivo / Detectável",1
