"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",45
"São Paulo","Positivo / Detectável",22
"Minas Gerais","Negativo / Não Detectável",34
"Minas Gerais","Positivo / Detectável",6
"Paraná","Negativo / Não Detectável",21
"Paraná","Positivo / Detectável",11
Bahia,"Negativo / Não Detectável",12
Bahia,"Positivo / Detectável",8
"Piauí","Negativo / Não Detectável",15
"Piauí","Positivo / Detectável",5
"Rio Grande do Sul","Negativo / Não Detectável",16
"Rio Grande do Sul","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",12
"Espírito Santo","Positivo / Detectável",2
"Maranhão","Negativo / Não Detectável",10
"Maranhão","Positivo / Detectável",4
"Santa Catarina","Negativo / Não Detectável",12
"Santa Catarina","Positivo / Detectável",2
"Rio de Janeiro","Negativo / Não Detectável",8
"Rio de Janeiro","Positivo / Detectável",5
Amazonas,"Negativo / Não Detectável",10
Amazonas,"Positivo / Detectável",1
"Mato Grosso do Sul","Negativo / Não Detectável",7
"Mato Grosso do Sul","Positivo / Detectável",3
"Pará","Negativo / Não Detectável",7
"Pará","Positivo / Detectável",2
"Ceará","Positivo / Detectável",6
"Ceará","Negativo / Não Detectável",2
"Mato Grosso","Negativo / Não Detectável",3
"Mato Grosso","Positivo / Detectável",1
Alagoas,"Positivo / Detectável",2
Pernambuco,"Positivo / Detectável",2
Sergipe,"Negativo / Não Detectável",2
