"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",991
"Paraná","Positivo / Detectável",424
"Paraná","Inconclusivo / Indeterminado",4
"São Paulo","Negativo / Não Detectável",806
"São Paulo","Positivo / Detectável",564
"São Paulo","Inconclusivo / Indeterminado",8
Bahia,"Negativo / Não Detectável",550
Bahia,"Positivo / Detectável",395
Bahia,"Inconclusivo / Indeterminado",21
"Espírito Santo","Positivo / Detectável",336
"Espírito Santo","Negativo / Não Detectável",184
"Espírito Santo","Inconclusivo / Indeterminado",29
"Minas Gerais","Negativo / Não Detectável",235
"Minas Gerais","Positivo / Detectável",109
"Minas Gerais","Inconclusivo / Indeterminado",10
Sergipe,"Positivo / Detectável",236
Sergipe,"Negativo / Não Detectável",78
"Rio Grande do Sul","Negativo / Não Detectável",207
"Rio Grande do Sul","Positivo / Detectável",93
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",232
"Mato Grosso do Sul","Positivo / Detectável",48
"Rondônia","Negativo / Não Detectável",149
"Rondônia","Positivo / Detectável",122
"Rondônia","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",162
"Santa Catarina","Positivo / Detectável",108
"Rio de Janeiro","Negativo / Não Detectável",133
"Rio de Janeiro","Positivo / Detectável",126
"Rio de Janeiro","Inconclusivo / Indeterminado",5
Pernambuco,"Positivo / Detectável",129
Pernambuco,"Negativo / Não Detectável",110
Pernambuco,"Inconclusivo / Indeterminado",3
"Piauí","Negativo / Não Detectável",113
"Piauí","Positivo / Detectável",106
"Ceará","Positivo / Detectável",106
"Ceará","Negativo / Não Detectável",89
"Ceará","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",122
"Pará","Positivo / Detectável",48
Acre,"Positivo / Detectável",103
Acre,"Negativo / Não Detectável",57
"Rio Grande do Norte","Positivo / Detectável",109
"Rio Grande do Norte","Negativo / Não Detectável",41
"Goiás","Positivo / Detectável",78
"Goiás","Negativo / Não Detectável",67
Tocantins,"Negativo / Não Detectável",84
Tocantins,"Positivo / Detectável",50
"Maranhão","Negativo / Não Detectável",70
"Maranhão","Positivo / Detectável",25
Alagoas,"Positivo / Detectável",37
Alagoas,"Negativo / Não Detectável",32
"Paraíba","Positivo / Detectável",39
"Paraíba","Negativo / Não Detectável",22
"Amapá","Negativo / Não Detectável",26
"Amapá","Positivo / Detectável",25
"Amapá","Inconclusivo / Indeterminado",2
Roraima,"Positivo / Detectável",18
Roraima,"Negativo / Não Detectável",6
"Mato Grosso","Negativo / Não Detectável",7
"Mato Grosso","Inconclusivo / Indeterminado",1
"Mato Grosso","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",6
Amazonas,"Positivo / Detectável",2
"Distrito Federal","Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",2
