"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.708"
"São Paulo","Positivo / Detectável","1.188"
"São Paulo","Inconclusivo / Indeterminado",18
"Paraná","Negativo / Não Detectável","1.310"
"Paraná","Positivo / Detectável",556
Bahia,"Negativo / Não Detectável",649
Bahia,"Positivo / Detectável",298
Bahia,"Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",595
"Minas Gerais","Positivo / Detectável",186
"Minas Gerais","Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável",491
"Rio Grande do Sul","Positivo / Detectável",216
"Rio Grande do Sul","Inconclusivo / Indeterminado",5
"Santa Catarina","Negativo / Não Detectável",256
"Santa Catarina","Positivo / Detectável",224
"Mato Grosso do Sul","Negativo / Não Detectável",305
"Mato Grosso do Sul","Positivo / Detectável",131
"Espírito Santo","Negativo / Não Detectável",223
"Espírito Santo","Positivo / Detectável",174
"Espírito Santo","Inconclusivo / Indeterminado",7
"Rio de Janeiro","Negativo / Não Detectável",212
"Rio de Janeiro","Positivo / Detectável",173
"Rio de Janeiro","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",227
Pernambuco,"Positivo / Detectável",107
Pernambuco,"Inconclusivo / Indeterminado",3
Sergipe,"Positivo / Detectável",216
Sergipe,"Negativo / Não Detectável",90
"Pará","Negativo / Não Detectável",166
"Pará","Positivo / Detectável",125
"Ceará","Negativo / Não Detectável",174
"Ceará","Positivo / Detectável",115
"Rio Grande do Norte","Negativo / Não Detectável",122
"Rio Grande do Norte","Positivo / Detectável",91
"Rio Grande do Norte","Inconclusivo / Indeterminado",4
"Rondônia","Negativo / Não Detectável",95
"Rondônia","Positivo / Detectável",77
"Rondônia","Inconclusivo / Indeterminado",1
"Goiás","Positivo / Detectável",89
"Goiás","Negativo / Não Detectável",68
"Piauí","Negativo / Não Detectável",71
"Piauí","Positivo / Detectável",65
Tocantins,"Positivo / Detectável",89
Tocantins,"Negativo / Não Detectável",28
Acre,"Negativo / Não Detectável",42
Acre,"Positivo / Detectável",37
Acre,"Inconclusivo / Indeterminado",1
"Paraíba","Positivo / Detectável",39
"Paraíba","Negativo / Não Detectável",38
Alagoas,"Negativo / Não Detectável",38
Alagoas,"Positivo / Detectável",16
"Maranhão","Negativo / Não Detectável",43
"Maranhão","Positivo / Detectável",9
"Amapá","Negativo / Não Detectável",35
"Amapá","Positivo / Detectável",6
Amazonas,"Negativo / Não Detectável",19
Amazonas,"Positivo / Detectável",17
Roraima,"Negativo / Não Detectável",19
Roraima,"Positivo / Detectável",3
"Distrito Federal","Positivo / Detectável",4
"Distrito Federal","Negativo / Não Detectável",3
"Mato Grosso","Positivo / Detectável",1
