"UF de residência",Resultados,"Nº de exames realizados"
Bahia,"Negativo / Não Detectável","1.209"
Bahia,"Positivo / Detectável",455
Bahia,"Inconclusivo / Indeterminado",11
"São Paulo","Negativo / Não Detectável",922
"São Paulo","Positivo / Detectável",378
"São Paulo","Inconclusivo / Indeterminado",16
"Rio de Janeiro","Negativo / Não Detectável",522
"Rio de Janeiro","Positivo / Detectável",520
"Rio de Janeiro","Inconclusivo / Indeterminado",27
Pernambuco,"Positivo / Detectável",701
Pernambuco,"Negativo / Não Detectável",252
Pernambuco,"Inconclusivo / Indeterminado",12
"Ceará","Positivo / Detectável",592
"Ceará","Negativo / Não Detectável",293
"Ceará","Inconclusivo / Indeterminado",4
"Espírito Santo","Negativo / Não Detectável",429
"Espírito Santo","Positivo / Detectável",403
"Espírito Santo","Inconclusivo / Indeterminado",30
"Paraná","Negativo / Não Detectável",719
"Paraná","Positivo / Detectável",125
"Paraná","Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",454
Sergipe,"Positivo / Detectável",312
"Santa Catarina","Negativo / Não Detectável",465
"Santa Catarina","Positivo / Detectável",127
Amazonas,"Negativo / Não Detectável",251
Amazonas,"Positivo / Detectável",240
Amazonas,"Inconclusivo / Indeterminado",1
"Amapá","Positivo / Detectável",375
"Amapá","Negativo / Não Detectável",100
"Amapá","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",399
"Mato Grosso do Sul","Positivo / Detectável",73
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
Tocantins,"Negativo / Não Detectável",329
Tocantins,"Positivo / Detectável",119
"Minas Gerais","Negativo / Não Detectável",330
"Minas Gerais","Positivo / Detectável",49
"Minas Gerais","Inconclusivo / Indeterminado",3
"Rondônia","Negativo / Não Detectável",217
"Rondônia","Positivo / Detectável",135
"Rondônia","Inconclusivo / Indeterminado",7
"Pará","Positivo / Detectável",229
"Pará","Negativo / Não Detectável",123
"Paraíba","Positivo / Detectável",171
"Paraíba","Negativo / Não Detectável",170
"Rio Grande do Sul","Negativo / Não Detectável",272
"Rio Grande do Sul","Positivo / Detectável",42
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
Acre,"Positivo / Detectável",217
Acre,"Negativo / Não Detectável",71
Acre,"Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Positivo / Detectável",153
"Rio Grande do Norte","Negativo / Não Detectável",135
Alagoas,"Positivo / Detectável",229
Alagoas,"Negativo / Não Detectável",57
Alagoas,"Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",182
"Mato Grosso","Positivo / Detectável",29
"Mato Grosso","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",126
"Piauí","Positivo / Detectável",58
"Piauí","Inconclusivo / Indeterminado",2
"Maranhão","Positivo / Detectável",123
"Maranhão","Negativo / Não Detectável",53
Roraima,"Positivo / Detectável",133
Roraima,"Negativo / Não Detectável",32
"Goiás","Negativo / Não Detectável",136
"Goiás","Positivo / Detectável",27
"Distrito Federal","Negativo / Não Detectável",2
"Distrito Federal","Positivo / Detectável",1
