"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.118"
"São Paulo","Positivo / Detectável",538
"São Paulo","Inconclusivo / Indeterminado",6
"Rio de Janeiro","Positivo / Detectável",786
"Rio de Janeiro","Negativo / Não Detectável",418
"Rio de Janeiro","Inconclusivo / Indeterminado",34
Pernambuco,"Positivo / Detectável",632
Pernambuco,"Negativo / Não Detectável",439
Pernambuco,"Inconclusivo / Indeterminado",14
Bahia,"Negativo / Não Detectável",778
Bahia,"Positivo / Detectável",212
Bahia,"Inconclusivo / Indeterminado",7
"Minas Gerais","Negativo / Não Detectável",625
"Minas Gerais","Positivo / Detectável",23
Amazonas,"Positivo / Detectável",320
Amazonas,"Negativo / Não Detectável",238
Amazonas,"Inconclusivo / Indeterminado",7
"Ceará","Positivo / Detectável",400
"Ceará","Negativo / Não Detectável",128
"Ceará","Inconclusivo / Indeterminado",8
"Espírito Santo","Negativo / Não Detectável",315
"Espírito Santo","Positivo / Detectável",173
"Espírito Santo","Inconclusivo / Indeterminado",8
"Paraná","Negativo / Não Detectável",452
"Paraná","Positivo / Detectável",42
"Santa Catarina","Negativo / Não Detectável",367
"Santa Catarina","Positivo / Detectável",49
"Maranhão","Positivo / Detectável",217
"Maranhão","Negativo / Não Detectável",107
"Amapá","Positivo / Detectável",166
"Amapá","Negativo / Não Detectável",143
"Amapá","Inconclusivo / Indeterminado",5
"Pará","Positivo / Detectável",250
"Pará","Negativo / Não Detectável",42
"Pará","Inconclusivo / Indeterminado",16
"Rio Grande do Sul","Negativo / Não Detectável",232
"Rio Grande do Sul","Positivo / Detectável",44
Sergipe,"Negativo / Não Detectável",218
Sergipe,"Positivo / Detectável",24
"Mato Grosso do Sul","Negativo / Não Detectável",190
"Mato Grosso do Sul","Positivo / Detectável",12
"Rondônia","Negativo / Não Detectável",153
"Rondônia","Positivo / Detectável",44
"Piauí","Negativo / Não Detectável",113
"Piauí","Positivo / Detectável",32
"Goiás","Negativo / Não Detectável",132
"Goiás","Positivo / Detectável",9
Acre,"Negativo / Não Detectável",101
Acre,"Positivo / Detectável",37
"Rio Grande do Norte","Negativo / Não Detectável",94
"Rio Grande do Norte","Positivo / Detectável",34
"Paraíba","Negativo / Não Detectável",77
"Paraíba","Positivo / Detectável",42
"Mato Grosso","Negativo / Não Detectável",94
"Mato Grosso","Positivo / Detectável",1
Alagoas,"Positivo / Detectável",54
Alagoas,"Negativo / Não Detectável",24
Alagoas,"Inconclusivo / Indeterminado",3
Roraima,"Positivo / Detectável",33
Roraima,"Negativo / Não Detectável",12
Tocantins,"Negativo / Não Detectável",19
Tocantins,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",2
