"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","6.093"
"São Paulo","Positivo / Detectável","2.915"
"São Paulo","Inconclusivo / Indeterminado",42
"Paraná","Negativo / Não Detectável","6.502"
"Paraná","Positivo / Detectável","1.820"
"Paraná","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável","2.536"
Bahia,"Positivo / Detectável","1.211"
Bahia,"Inconclusivo / Indeterminado",14
"Rio Grande do Sul","Negativo / Não Detectável","1.639"
"Rio Grande do Sul","Positivo / Detectável",557
"Rio Grande do Sul","Inconclusivo / Indeterminado",5
Pernambuco,"Negativo / Não Detectável","1.727"
Pernambuco,"Positivo / Detectável",285
Pernambuco,"Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável","1.404"
"Santa Catarina","Positivo / Detectável",473
"Santa Catarina","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável","1.165"
"Mato Grosso do Sul","Positivo / Detectável",545
"Mato Grosso do Sul","Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável","1.293"
"Rio de Janeiro","Positivo / Detectável",298
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Ceará","Negativo / Não Detectável","1.252"
"Ceará","Positivo / Detectável",326
"Ceará","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável","1.108"
"Minas Gerais","Positivo / Detectável",346
"Minas Gerais","Inconclusivo / Indeterminado",21
"Espírito Santo","Negativo / Não Detectável",818
"Espírito Santo","Positivo / Detectável",564
"Espírito Santo","Inconclusivo / Indeterminado",14
"Goiás","Negativo / Não Detectável",801
"Goiás","Positivo / Detectável",345
Sergipe,"Negativo / Não Detectável",822
Sergipe,"Positivo / Detectável",271
Tocantins,"Negativo / Não Detectável",562
Tocantins,"Positivo / Detectável",476
"Rondônia","Negativo / Não Detectável",516
"Rondônia","Positivo / Detectável",318
"Rondônia","Inconclusivo / Indeterminado",3
"Rio Grande do Norte","Negativo / Não Detectável",579
"Rio Grande do Norte","Positivo / Detectável",219
"Pará","Negativo / Não Detectável",384
"Pará","Positivo / Detectável",104
"Paraíba","Negativo / Não Detectável",255
"Paraíba","Positivo / Detectável",54
"Piauí","Negativo / Não Detectável",185
"Piauí","Positivo / Detectável",91
"Maranhão","Negativo / Não Detectável",190
"Maranhão","Positivo / Detectável",33
Acre,"Negativo / Não Detectável",159
Acre,"Positivo / Detectável",45
Amazonas,"Negativo / Não Detectável",106
Amazonas,"Positivo / Detectável",37
Amazonas,"Inconclusivo / Indeterminado",2
Alagoas,"Negativo / Não Detectável",120
Alagoas,"Positivo / Detectável",13
Roraima,"Negativo / Não Detectável",67
Roraima,"Positivo / Detectável",20
"Amapá","Negativo / Não Detectável",77
"Amapá","Positivo / Detectável",9
"Mato Grosso","Negativo / Não Detectável",45
"Mato Grosso","Positivo / Detectável",16
"Distrito Federal","Negativo / Não Detectável",18
"Distrito Federal","Positivo / Detectável",5
