"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",772
"São Paulo","Positivo / Detectável",110
"São Paulo","Inconclusivo / Indeterminado",4
"Ceará","Negativo / Não Detectável",323
"Ceará","Positivo / Detectável",77
"Ceará","Inconclusivo / Indeterminado",3
"Paraná","Negativo / Não Detectável",336
"Paraná","Positivo / Detectável",52
"Minas Gerais","Negativo / Não Detectável",297
"Minas Gerais","Positivo / Detectável",8
Bahia,"Negativo / Não Detectável",256
Bahia,"Positivo / Detectável",20
"Rio Grande do Sul","Negativo / Não Detectável",163
"Rio Grande do Sul","Positivo / Detectável",12
"Goiás","Negativo / Não Detectável",91
"Goiás","Positivo / Detectável",16
"Rio de Janeiro","Negativo / Não Detectável",95
"Rio de Janeiro","Positivo / Detectável",9
"Espírito Santo","Negativo / Não Detectável",82
"Espírito Santo","Positivo / Detectável",15
"Santa Catarina","Negativo / Não Detectável",69
"Santa Catarina","Positivo / Detectável",17
Alagoas,"Negativo / Não Detectável",72
Alagoas,"Inconclusivo / Indeterminado",3
Alagoas,"Positivo / Detectável",3
"Pará","Negativo / Não Detectável",47
"Pará","Positivo / Detectável",12
Pernambuco,"Negativo / Não Detectável",42
Pernambuco,"Positivo / Detectável",17
"Piauí","Negativo / Não Detectável",49
"Piauí","Positivo / Detectável",8
"Rio Grande do Norte","Negativo / Não Detectável",48
"Rio Grande do Norte","Positivo / Detectável",9
"Mato Grosso do Sul","Negativo / Não Detectável",52
"Mato Grosso do Sul","Positivo / Detectável",3
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Amapá","Negativo / Não Detectável",49
"Amapá","Positivo / Detectável",3
"Maranhão","Negativo / Não Detectável",48
"Maranhão","Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",34
Amazonas,"Positivo / Detectável",13
Amazonas,"Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",39
"Rondônia","Positivo / Detectável",1
Tocantins,"Negativo / Não Detectável",38
Tocantins,"Positivo / Detectável",1
Sergipe,"Negativo / Não Detectável",23
Sergipe,"Positivo / Detectável",7
"Paraíba","Negativo / Não Detectável",24
"Paraíba","Positivo / Detectável",1
Acre,"Negativo / Não Detectável",17
Acre,"Positivo / Detectável",4
"Mato Grosso","Negativo / Não Detectável",15
Roraima,"Negativo / Não Detectável",4
Roraima,"Positivo / Detectável",1
"Distrito Federal","Positivo / Detectável",2
