"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",13
"Paraná","Positivo / Detectável",2
"São Paulo","Negativo / Não Detectável",11
Bahia,"Negativo / Não Detectável",7
Bahia,"Positivo / Detectável",3
"Minas Gerais","Negativo / Não Detectável",2
"Minas Gerais","Positivo / Detectável",2
"Paraíba","Negativo / Não Detectável",2
"Paraíba","Positivo / Detectável",2
"Rio Grande do Sul","Negativo / Não Detectável",4
Amazonas,"Negativo / Não Detectável",2
"Ceará","Negativo / Não Detectável",2
"Rio Grande do Norte","Positivo / Detectável",2
"Maranhão","Positivo / Detectável",1
"Pará","Negativo / Não Detectável",1
"Piauí","Negativo / Não Detectável",1
