"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.984"
"São Paulo","Positivo / Detectável","1.116"
"São Paulo","Inconclusivo / Indeterminado",27
"Paraná","Negativo / Não Detectável","1.936"
"Paraná","Positivo / Detectável",934
"Paraná","Inconclusivo / Indeterminado",7
Bahia,"Negativo / Não Detectável","1.217"
Bahia,"Positivo / Detectável",596
Bahia,"Inconclusivo / Indeterminado",42
"Espírito Santo","Positivo / Detectável",542
"Espírito Santo","Negativo / Não Detectável",450
"Espírito Santo","Inconclusivo / Indeterminado",32
"Rio de Janeiro","Negativo / Não Detectável",624
"Rio de Janeiro","Positivo / Detectável",266
"Rio de Janeiro","Inconclusivo / Indeterminado",14
"Santa Catarina","Negativo / Não Detectável",542
"Santa Catarina","Positivo / Detectável",234
"Santa Catarina","Inconclusivo / Indeterminado",6
"Minas Gerais","Negativo / Não Detectável",489
"Minas Gerais","Positivo / Detectável",218
"Minas Gerais","Inconclusivo / Indeterminado",13
"Rio Grande do Sul","Negativo / Não Detectável",518
"Rio Grande do Sul","Positivo / Detectável",171
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
Pernambuco,"Positivo / Detectável",347
Pernambuco,"Negativo / Não Detectável",335
Pernambuco,"Inconclusivo / Indeterminado",7
"Rondônia","Negativo / Não Detectável",325
"Rondônia","Positivo / Detectável",325
"Rondônia","Inconclusivo / Indeterminado",16
"Mato Grosso do Sul","Negativo / Não Detectável",519
"Mato Grosso do Sul","Positivo / Detectável",135
"Mato Grosso do Sul","Inconclusivo / Indeterminado",4
"Mato Grosso","Negativo / Não Detectável",391
"Mato Grosso","Positivo / Detectável",189
"Mato Grosso","Inconclusivo / Indeterminado",2
Tocantins,"Negativo / Não Detectável",346
Tocantins,"Positivo / Detectável",210
"Rio Grande do Norte","Positivo / Detectável",297
"Rio Grande do Norte","Negativo / Não Detectável",162
Sergipe,"Positivo / Detectável",342
Sergipe,"Negativo / Não Detectável",110
"Ceará","Positivo / Detectável",221
"Ceará","Negativo / Não Detectável",207
"Ceará","Inconclusivo / Indeterminado",2
Amazonas,"Negativo / Não Detectável",345
Amazonas,"Positivo / Detectável",49
Amazonas,"Inconclusivo / Indeterminado",2
"Piauí","Negativo / Não Detectável",216
"Piauí","Positivo / Detectável",173
"Pará","Negativo / Não Detectável",221
"Pará","Positivo / Detectável",136
"Maranhão","Negativo / Não Detectável",205
"Maranhão","Positivo / Detectável",46
Acre,"Positivo / Detectável",134
Acre,"Negativo / Não Detectável",96
"Paraíba","Negativo / Não Detectável",114
"Paraíba","Positivo / Detectável",105
"Paraíba","Inconclusivo / Indeterminado",1
Roraima,"Positivo / Detectável",149
Roraima,"Negativo / Não Detectável",67
"Amapá","Positivo / Detectável",119
"Amapá","Negativo / Não Detectável",90
"Amapá","Inconclusivo / Indeterminado",6
"Goiás","Negativo / Não Detectável",120
"Goiás","Positivo / Detectável",89
Alagoas,"Positivo / Detectável",52
Alagoas,"Negativo / Não Detectável",50
"Distrito Federal","Negativo / Não Detectável",3
"Distrito Federal","Positivo / Detectável",2
