"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.220"
"São Paulo","Positivo / Detectável","1.675"
"São Paulo","Inconclusivo / Indeterminado",28
"Paraná","Negativo / Não Detectável","4.549"
"Paraná","Positivo / Detectável","1.063"
"Paraná","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável","2.280"
"Rio Grande do Sul","Positivo / Detectável",615
"Rio Grande do Sul","Inconclusivo / Indeterminado",36
"Santa Catarina","Negativo / Não Detectável","1.764"
"Santa Catarina","Positivo / Detectável",593
"Santa Catarina","Inconclusivo / Indeterminado",10
Bahia,"Negativo / Não Detectável","1.296"
Bahia,"Positivo / Detectável",930
Bahia,"Inconclusivo / Indeterminado",67
"Ceará","Negativo / Não Detectável","1.786"
"Ceará","Positivo / Detectável",473
"Rio de Janeiro","Negativo / Não Detectável","1.458"
"Rio de Janeiro","Positivo / Detectável",442
"Rio de Janeiro","Inconclusivo / Indeterminado",38
Pernambuco,"Negativo / Não Detectável","1.609"
Pernambuco,"Positivo / Detectável",308
"Minas Gerais","Negativo / Não Detectável",961
"Minas Gerais","Positivo / Detectável",382
"Minas Gerais","Inconclusivo / Indeterminado",9
"Mato Grosso do Sul","Negativo / Não Detectável",683
"Mato Grosso do Sul","Positivo / Detectável",191
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",575
Sergipe,"Positivo / Detectável",277
"Rio Grande do Norte","Negativo / Não Detectável",406
"Rio Grande do Norte","Positivo / Detectável",85
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",374
"Pará","Positivo / Detectável",107
"Pará","Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",273
"Rondônia","Positivo / Detectável",120
"Rondônia","Inconclusivo / Indeterminado",2
"Goiás","Negativo / Não Detectável",233
"Goiás","Positivo / Detectável",119
Amazonas,"Negativo / Não Detectável",167
Amazonas,"Positivo / Detectável",99
Amazonas,"Inconclusivo / Indeterminado",5
Tocantins,"Negativo / Não Detectável",176
Tocantins,"Positivo / Detectável",87
Tocantins,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",175
"Paraíba","Positivo / Detectável",50
"Mato Grosso","Negativo / Não Detectável",167
"Mato Grosso","Positivo / Detectável",46
"Maranhão","Negativo / Não Detectável",143
"Maranhão","Positivo / Detectável",20
Acre,"Negativo / Não Detectável",97
Acre,"Positivo / Detectável",26
Roraima,"Positivo / Detectável",77
Roraima,"Negativo / Não Detectável",36
Alagoas,"Negativo / Não Detectável",67
Alagoas,"Positivo / Detectável",8
"Piauí","Negativo / Não Detectável",17
"Piauí","Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",10
"Distrito Federal","Positivo / Detectável",5
"Espírito Santo","Negativo / Não Detectável",3
"Espírito Santo","Positivo / Detectável",2
"Amapá","Negativo / Não Detectável",3
