"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",58
"Paraná","Positivo / Detectável",16
"São Paulo","Negativo / Não Detectável",53
"São Paulo","Positivo / Detectável",18
"Rio de Janeiro","Negativo / Não Detectável",22
"Rio de Janeiro","Positivo / Detectável",5
"Mato Grosso do Sul","Negativo / Não Detectável",24
"Minas Gerais","Negativo / Não Detectável",21
"Minas Gerais","Positivo / Detectável",1
Bahia,"Negativo / Não Detectável",16
Bahia,"Positivo / Detectável",3
Amazonas,"Negativo / Não Detectável",17
Amazonas,"Positivo / Detectável",1
Sergipe,"Negativo / Não Detectável",15
Sergipe,"Positivo / Detectável",1
"Rio Grande do Sul","Negativo / Não Detectável",11
"Goiás","Negativo / Não Detectável",7
"Goiás","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",8
"Ceará","Positivo / Detectável",6
"Ceará","Negativo / Não Detectável",1
"Maranhão","Negativo / Não Detectável",7
Pernambuco,"Negativo / Não Detectável",7
"Paraíba","Negativo / Não Detectável",4
"Paraíba","Positivo / Detectável",2
"Piauí","Negativo / Não Detectável",6
"Santa Catarina","Negativo / Não Detectável",6
Acre,"Negativo / Não Detectável",5
Tocantins,"Negativo / Não Detectável",2
Tocantins,"Positivo / Detectável",1
Alagoas,"Negativo / Não Detectável",2
"Pará","Negativo / Não Detectável",1
"Pará","Positivo / Detectável",1
"Amapá","Positivo / Detectável",1
