"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",625
"São Paulo","Positivo / Detectável",393
"São Paulo","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",317
Bahia,"Positivo / Detectável",100
Bahia,"Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",213
Amazonas,"Positivo / Detectável",191
Amazonas,"Inconclusivo / Indeterminado",2
Pernambuco,"Positivo / Detectável",208
Pernambuco,"Negativo / Não Detectável",178
Pernambuco,"Inconclusivo / Indeterminado",8
"Rio de Janeiro","Positivo / Detectável",210
"Rio de Janeiro","Negativo / Não Detectável",164
"Rio de Janeiro","Inconclusivo / Indeterminado",14
"Minas Gerais","Negativo / Não Detectável",355
"Minas Gerais","Positivo / Detectável",15
"Ceará","Positivo / Detectável",272
"Ceará","Negativo / Não Detectável",76
"Ceará","Inconclusivo / Indeterminado",11
"Amapá","Negativo / Não Detectável",206
"Amapá","Positivo / Detectável",125
"Espírito Santo","Negativo / Não Detectável",207
"Espírito Santo","Positivo / Detectável",99
"Espírito Santo","Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",203
"Paraná","Positivo / Detectável",8
"Santa Catarina","Negativo / Não Detectável",172
"Santa Catarina","Positivo / Detectável",26
"Pará","Positivo / Detectável",135
"Pará","Negativo / Não Detectável",35
"Pará","Inconclusivo / Indeterminado",6
Sergipe,"Negativo / Não Detectável",130
Sergipe,"Positivo / Detectável",11
Alagoas,"Positivo / Detectável",90
Alagoas,"Negativo / Não Detectável",33
Alagoas,"Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável",93
"Rio Grande do Sul","Positivo / Detectável",23
"Rondônia","Negativo / Não Detectável",79
"Rondônia","Positivo / Detectável",35
"Piauí","Negativo / Não Detectável",90
"Piauí","Positivo / Detectável",22
Acre,"Negativo / Não Detectável",76
Acre,"Positivo / Detectável",28
"Maranhão","Positivo / Detectável",64
"Maranhão","Negativo / Não Detectável",31
"Paraíba","Negativo / Não Detectável",57
"Paraíba","Positivo / Detectável",34
"Goiás","Negativo / Não Detectável",74
"Goiás","Positivo / Detectável",9
"Mato Grosso do Sul","Negativo / Não Detectável",59
"Mato Grosso do Sul","Positivo / Detectável",4
"Rio Grande do Norte","Negativo / Não Detectável",37
"Rio Grande do Norte","Positivo / Detectável",25
"Mato Grosso","Negativo / Não Detectável",22
"Mato Grosso","Positivo / Detectável",4
Roraima,"Positivo / Detectável",13
Roraima,"Negativo / Não Detectável",2
Tocantins,"Negativo / Não Detectável",7
