"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",26
"Paraná","Positivo / Detectável",13
"São Paulo","Negativo / Não Detectável",27
"São Paulo","Positivo / Detectável",7
"Santa Catarina","Negativo / Não Detectável",20
"Santa Catarina","Positivo / Detectável",2
Bahia,"Positivo / Detectável",10
Bahia,"Negativo / Não Detectável",8
"Maranhão","Negativo / Não Detectável",9
"Maranhão","Positivo / Detectável",2
Pernambuco,"Negativo / Não Detectável",9
"Mato Grosso do Sul","Negativo / Não Detectável",7
"Mato Grosso do Sul","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",5
"Espírito Santo","Positivo / Detectável",2
"Minas Gerais","Negativo / Não Detectável",5
"Minas Gerais","Positivo / Detectável",1
"Rio de Janeiro","Negativo / Não Detectável",4
Amazonas,"Negativo / Não Detectável",3
"Piauí","Negativo / Não Detectável",2
"Piauí","Positivo / Detectável",1
"Rio Grande do Sul","Negativo / Não Detectável",2
"Rio Grande do Sul","Positivo / Detectável",1
"Ceará","Negativo / Não Detectável",1
"Ceará","Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",2
"Paraíba","Negativo / Não Detectável",1
"Paraíba","Positivo / Detectável",1
"Pará","Negativo / Não Detectável",2
Sergipe,"Negativo / Não Detectável",1
Sergipe,"Positivo / Detectável",1
