"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.455"
"São Paulo","Positivo / Detectável","2.493"
"São Paulo","Inconclusivo / Indeterminado",36
"Paraná","Negativo / Não Detectável","4.403"
"Paraná","Positivo / Detectável","1.578"
"Paraná","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável","2.833"
Bahia,"Positivo / Detectável",982
Bahia,"Inconclusivo / Indeterminado",12
Pernambuco,"Negativo / Não Detectável","1.983"
Pernambuco,"Positivo / Detectável",350
Pernambuco,"Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável","1.520"
"Rio Grande do Sul","Positivo / Detectável",455
"Rio Grande do Sul","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável","1.564"
"Ceará","Positivo / Detectável",368
"Ceará","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável","1.273"
"Goiás","Positivo / Detectável",485
"Rio de Janeiro","Negativo / Não Detectável","1.286"
"Rio de Janeiro","Positivo / Detectável",383
"Rio de Janeiro","Inconclusivo / Indeterminado",7
"Santa Catarina","Negativo / Não Detectável","1.301"
"Santa Catarina","Positivo / Detectável",356
"Santa Catarina","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável","1.091"
"Minas Gerais","Positivo / Detectável",483
"Minas Gerais","Inconclusivo / Indeterminado",59
"Espírito Santo","Negativo / Não Detectável",783
"Espírito Santo","Positivo / Detectável",301
"Espírito Santo","Inconclusivo / Indeterminado",10
"Mato Grosso do Sul","Negativo / Não Detectável",705
"Mato Grosso do Sul","Positivo / Detectável",354
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",734
Sergipe,"Positivo / Detectável",133
"Rio Grande do Norte","Negativo / Não Detectável",607
"Rio Grande do Norte","Positivo / Detectável",216
Tocantins,"Negativo / Não Detectável",403
Tocantins,"Positivo / Detectável",335
"Rondônia","Negativo / Não Detectável",403
"Rondônia","Positivo / Detectável",267
"Rondônia","Inconclusivo / Indeterminado",2
"Pará","Negativo / Não Detectável",403
"Pará","Positivo / Detectável",77
"Piauí","Negativo / Não Detectável",233
"Piauí","Positivo / Detectável",106
"Paraíba","Negativo / Não Detectável",186
"Paraíba","Positivo / Detectável",63
Amazonas,"Negativo / Não Detectável",146
Amazonas,"Positivo / Detectável",84
"Maranhão","Negativo / Não Detectável",177
"Maranhão","Positivo / Detectável",27
"Maranhão","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",89
Acre,"Positivo / Detectável",28
Alagoas,"Negativo / Não Detectável",114
Alagoas,"Positivo / Detectável",2
"Mato Grosso","Negativo / Não Detectável",93
"Mato Grosso","Positivo / Detectável",20
Roraima,"Negativo / Não Detectável",60
Roraima,"Positivo / Detectável",11
"Amapá","Negativo / Não Detectável",62
"Amapá","Positivo / Detectável",8
"Distrito Federal","Negativo / Não Detectável",17
"Distrito Federal","Positivo / Detectável",10
