"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","1.804"
"Paraná","Positivo / Detectável",731
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","1.509"
"São Paulo","Positivo / Detectável",821
"São Paulo","Inconclusivo / Indeterminado",13
Bahia,"Negativo / Não Detectável",694
Bahia,"Positivo / Detectável",237
Bahia,"Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável",447
"Rio Grande do Sul","Positivo / Detectável",215
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável",408
"Mato Grosso do Sul","Positivo / Detectável",236
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável",374
"Santa Catarina","Positivo / Detectável",115
"Santa Catarina","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",301
"Minas Gerais","Positivo / Detectável",159
"Minas Gerais","Inconclusivo / Indeterminado",21
Pernambuco,"Negativo / Não Detectável",358
Pernambuco,"Positivo / Detectável",79
"Piauí","Negativo / Não Detectável",210
"Piauí","Positivo / Detectável",161
"Rio de Janeiro","Negativo / Não Detectável",233
"Rio de Janeiro","Positivo / Detectável",132
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",232
"Espírito Santo","Positivo / Detectável",97
"Espírito Santo","Inconclusivo / Indeterminado",9
"Ceará","Negativo / Não Detectável",242
"Ceará","Positivo / Detectável",93
"Ceará","Inconclusivo / Indeterminado",2
Sergipe,"Negativo / Não Detectável",247
Sergipe,"Positivo / Detectável",61
"Rondônia","Negativo / Não Detectável",125
"Rondônia","Positivo / Detectável",89
"Rondônia","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",104
Tocantins,"Negativo / Não Detectável",103
"Rio Grande do Norte","Negativo / Não Detectável",144
"Rio Grande do Norte","Positivo / Detectável",59
"Pará","Negativo / Não Detectável",153
"Pará","Positivo / Detectável",15
"Goiás","Negativo / Não Detectável",62
"Goiás","Positivo / Detectável",53
"Maranhão","Negativo / Não Detectável",75
"Maranhão","Positivo / Detectável",13
"Paraíba","Negativo / Não Detectável",51
"Paraíba","Positivo / Detectável",19
Alagoas,"Negativo / Não Detectável",59
Alagoas,"Positivo / Detectável",6
Acre,"Negativo / Não Detectável",23
Acre,"Positivo / Detectável",2
Roraima,"Negativo / Não Detectável",20
Roraima,"Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",10
"Amapá","Positivo / Detectável",5
Amazonas,"Negativo / Não Detectável",10
Amazonas,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",7
"Mato Grosso","Positivo / Detectável",2
