"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",786
"São Paulo","Positivo / Detectável",324
Pernambuco,"Positivo / Detectável",556
Pernambuco,"Negativo / Não Detectável",494
Pernambuco,"Inconclusivo / Indeterminado",19
"Rio de Janeiro","Positivo / Detectável",527
"Rio de Janeiro","Negativo / Não Detectável",321
"Rio de Janeiro","Inconclusivo / Indeterminado",42
"Paraná","Negativo / Não Detectável",598
"Paraná","Positivo / Detectável",25
Bahia,"Negativo / Não Detectável",493
Bahia,"Positivo / Detectável",117
Bahia,"Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",575
"Minas Gerais","Positivo / Detectável",26
"Minas Gerais","Inconclusivo / Indeterminado",1
Amazonas,"Positivo / Detectável",319
Amazonas,"Negativo / Não Detectável",238
Amazonas,"Inconclusivo / Indeterminado",3
"Espírito Santo","Negativo / Não Detectável",308
"Espírito Santo","Positivo / Detectável",122
"Espírito Santo","Inconclusivo / Indeterminado",2
"Ceará","Positivo / Detectável",237
"Ceará","Negativo / Não Detectável",170
"Ceará","Inconclusivo / Indeterminado",15
"Santa Catarina","Negativo / Não Detectável",328
"Santa Catarina","Positivo / Detectável",33
"Maranhão","Positivo / Detectável",147
"Maranhão","Negativo / Não Detectável",109
"Amapá","Negativo / Não Detectável",130
"Amapá","Positivo / Detectável",109
"Amapá","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",219
"Mato Grosso do Sul","Positivo / Detectável",4
"Pará","Positivo / Detectável",140
"Pará","Negativo / Não Detectável",58
"Pará","Inconclusivo / Indeterminado",5
"Rio Grande do Sul","Negativo / Não Detectável",181
"Rio Grande do Sul","Positivo / Detectável",20
"Rondônia","Negativo / Não Detectável",122
"Rondônia","Positivo / Detectável",28
"Goiás","Negativo / Não Detectável",115
"Goiás","Positivo / Detectável",11
Sergipe,"Negativo / Não Detectável",92
Sergipe,"Positivo / Detectável",18
"Rio Grande do Norte","Negativo / Não Detectável",78
"Rio Grande do Norte","Positivo / Detectável",25
"Piauí","Negativo / Não Detectável",72
"Piauí","Positivo / Detectável",27
Alagoas,"Positivo / Detectável",60
Alagoas,"Negativo / Não Detectável",34
Alagoas,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",72
"Paraíba","Positivo / Detectável",22
Acre,"Negativo / Não Detectável",57
Acre,"Positivo / Detectável",32
"Mato Grosso","Negativo / Não Detectável",32
"Mato Grosso","Positivo / Detectável",5
Roraima,"Positivo / Detectável",18
Roraima,"Negativo / Não Detectável",5
Roraima,"Inconclusivo / Indeterminado",1
Tocantins,"Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",1
