"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.466"
"São Paulo","Positivo / Detectável","2.627"
"São Paulo","Inconclusivo / Indeterminado",7
"Paraná","Negativo / Não Detectável","5.859"
"Paraná","Positivo / Detectável","1.669"
"Paraná","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável","2.106"
Bahia,"Positivo / Detectável",690
Bahia,"Inconclusivo / Indeterminado",5
"Santa Catarina","Negativo / Não Detectável","1.425"
"Santa Catarina","Positivo / Detectável",608
"Santa Catarina","Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável","1.351"
"Rio Grande do Sul","Positivo / Detectável",678
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável","1.583"
Pernambuco,"Positivo / Detectável",411
Pernambuco,"Inconclusivo / Indeterminado",5
"Ceará","Negativo / Não Detectável","1.505"
"Ceará","Positivo / Detectável",368
"Ceará","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável","1.358"
"Minas Gerais","Positivo / Detectável",290
"Minas Gerais","Inconclusivo / Indeterminado",33
"Rio de Janeiro","Negativo / Não Detectável","1.233"
"Rio de Janeiro","Positivo / Detectável",332
"Rio de Janeiro","Inconclusivo / Indeterminado",14
"Mato Grosso do Sul","Negativo / Não Detectável",950
"Mato Grosso do Sul","Positivo / Detectável",411
"Mato Grosso do Sul","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",760
"Espírito Santo","Positivo / Detectável",343
"Espírito Santo","Inconclusivo / Indeterminado",20
Tocantins,"Positivo / Detectável",489
Tocantins,"Negativo / Não Detectável",445
Sergipe,"Negativo / Não Detectável",576
Sergipe,"Positivo / Detectável",305
"Rio Grande do Norte","Negativo / Não Detectável",622
"Rio Grande do Norte","Positivo / Detectável",250
"Rondônia","Positivo / Detectável",417
"Rondônia","Negativo / Não Detectável",347
"Rondônia","Inconclusivo / Indeterminado",14
"Goiás","Negativo / Não Detectável",410
"Goiás","Positivo / Detectável",285
"Pará","Negativo / Não Detectável",307
"Pará","Positivo / Detectável",58
"Piauí","Negativo / Não Detectável",229
"Piauí","Positivo / Detectável",131
"Maranhão","Negativo / Não Detectável",225
"Maranhão","Positivo / Detectável",40
"Paraíba","Negativo / Não Detectável",192
"Paraíba","Positivo / Detectável",72
Acre,"Negativo / Não Detectável",132
Acre,"Positivo / Detectável",51
Alagoas,"Negativo / Não Detectável",161
Alagoas,"Positivo / Detectável",16
Amazonas,"Negativo / Não Detectável",126
Amazonas,"Positivo / Detectável",50
Amazonas,"Inconclusivo / Indeterminado",1
"Amapá","Negativo / Não Detectável",80
"Amapá","Positivo / Detectável",13
Roraima,"Negativo / Não Detectável",65
Roraima,"Positivo / Detectável",17
"Mato Grosso","Negativo / Não Detectável",59
"Mato Grosso","Positivo / Detectável",9
"Distrito Federal","Negativo / Não Detectável",12
"Distrito Federal","Positivo / Detectável",7
"Distrito Federal","Inconclusivo / Indeterminado",2
