"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",52
"Paraná","Positivo / Detectável",10
"São Paulo","Negativo / Não Detectável",14
"São Paulo","Positivo / Detectável",2
"Espírito Santo","Negativo / Não Detectável",5
"Espírito Santo","Positivo / Detectável",1
"Rio de Janeiro","Positivo / Detectável",3
"Rio de Janeiro","Negativo / Não Detectável",2
Amazonas,"Negativo / Não Detectável",4
Pernambuco,"Negativo / Não Detectável",3
Pernambuco,"Positivo / Detectável",1
"Ceará","Positivo / Detectável",2
"Ceará","Negativo / Não Detectável",1
"Goiás","Negativo / Não Detectável",2
"Minas Gerais","Negativo / Não Detectável",2
"Rio Grande do Norte","Negativo / Não Detectável",1
"Rio Grande do Norte","Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",1
"Maranhão","Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",1
"Pará","Negativo / Não Detectável",1
"Rio Grande do Sul","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",1
Tocantins,"Positivo / Detectável",1
