"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.147"
"São Paulo","Positivo / Detectável",297
"São Paulo","Inconclusivo / Indeterminado",9
"Paraná","Negativo / Não Detectável",628
"Paraná","Positivo / Detectável",60
Bahia,"Negativo / Não Detectável",430
Bahia,"Positivo / Detectável",32
"Minas Gerais","Negativo / Não Detectável",354
"Minas Gerais","Inconclusivo / Indeterminado",16
"Minas Gerais","Positivo / Detectável",8
"Ceará","Negativo / Não Detectável",239
"Ceará","Positivo / Detectável",84
"Rio de Janeiro","Negativo / Não Detectável",265
"Rio de Janeiro","Positivo / Detectável",38
"Rio de Janeiro","Inconclusivo / Indeterminado",6
Amazonas,"Negativo / Não Detectável",202
Amazonas,"Positivo / Detectável",25
Amazonas,"Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",201
"Rio Grande do Sul","Positivo / Detectável",24
"Santa Catarina","Negativo / Não Detectável",195
"Santa Catarina","Positivo / Detectável",28
"Santa Catarina","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",173
"Pará","Positivo / Detectável",18
Pernambuco,"Negativo / Não Detectável",165
Pernambuco,"Positivo / Detectável",21
"Rio Grande do Norte","Negativo / Não Detectável",123
"Rio Grande do Norte","Positivo / Detectável",21
"Goiás","Negativo / Não Detectável",127
"Goiás","Positivo / Detectável",12
"Piauí","Negativo / Não Detectável",93
"Piauí","Positivo / Detectável",14
"Piauí","Inconclusivo / Indeterminado",6
"Mato Grosso do Sul","Negativo / Não Detectável",89
"Mato Grosso do Sul","Positivo / Detectável",9
"Maranhão","Negativo / Não Detectável",76
"Maranhão","Positivo / Detectável",16
"Espírito Santo","Negativo / Não Detectável",64
"Espírito Santo","Positivo / Detectável",11
"Espírito Santo","Inconclusivo / Indeterminado",5
"Paraíba","Negativo / Não Detectável",62
"Paraíba","Positivo / Detectável",3
Sergipe,"Negativo / Não Detectável",53
Sergipe,"Positivo / Detectável",10
Alagoas,"Negativo / Não Detectável",57
Alagoas,"Positivo / Detectável",2
"Amapá","Negativo / Não Detectável",55
"Amapá","Positivo / Detectável",4
"Rondônia","Negativo / Não Detectável",46
"Rondônia","Positivo / Detectável",4
"Mato Grosso","Negativo / Não Detectável",35
"Mato Grosso","Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",32
Tocantins,"Positivo / Detectável",2
Roraima,"Negativo / Não Detectável",13
Roraima,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",3
Acre,"Negativo / Não Detectável",1
