"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.291"
"Paraná","Positivo / Detectável",941
"São Paulo","Negativo / Não Detectável","1.447"
"São Paulo","Positivo / Detectável",828
"São Paulo","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",392
"Rio Grande do Sul","Positivo / Detectável",228
Bahia,"Negativo / Não Detectável",396
Bahia,"Positivo / Detectável",209
"Mato Grosso do Sul","Negativo / Não Detectável",369
"Mato Grosso do Sul","Positivo / Detectável",169
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável",278
"Rio de Janeiro","Positivo / Detectável",252
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável",397
"Santa Catarina","Positivo / Detectável",132
"Minas Gerais","Negativo / Não Detectável",253
"Minas Gerais","Positivo / Detectável",125
"Minas Gerais","Inconclusivo / Indeterminado",9
"Espírito Santo","Negativo / Não Detectável",255
"Espírito Santo","Positivo / Detectável",91
"Espírito Santo","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável",285
Pernambuco,"Positivo / Detectável",51
"Ceará","Negativo / Não Detectável",251
"Ceará","Positivo / Detectável",82
Sergipe,"Negativo / Não Detectável",202
Sergipe,"Positivo / Detectável",49
Tocantins,"Positivo / Detectável",152
Tocantins,"Negativo / Não Detectável",73
Tocantins,"Inconclusivo / Indeterminado",1
"Rondônia","Negativo / Não Detectável",141
"Rondônia","Positivo / Detectável",65
"Rio Grande do Norte","Negativo / Não Detectável",85
"Rio Grande do Norte","Positivo / Detectável",36
"Goiás","Negativo / Não Detectável",47
"Goiás","Positivo / Detectável",41
"Piauí","Negativo / Não Detectável",71
"Piauí","Positivo / Detectável",16
"Paraíba","Negativo / Não Detectável",49
"Paraíba","Positivo / Detectável",14
"Pará","Negativo / Não Detectável",44
"Pará","Positivo / Detectável",17
Acre,"Negativo / Não Detectável",42
Acre,"Positivo / Detectável",14
"Maranhão","Negativo / Não Detectável",35
"Maranhão","Positivo / Detectável",7
Amazonas,"Negativo / Não Detectável",22
Amazonas,"Positivo / Detectável",10
Amazonas,"Inconclusivo / Indeterminado",2
Alagoas,"Negativo / Não Detectável",22
Alagoas,"Positivo / Detectável",7
Roraima,"Negativo / Não Detectável",14
"Distrito Federal","Negativo / Não Detectável",7
"Distrito Federal","Positivo / Detectável",1
"Mato Grosso","Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",2
"Amapá","Negativo / Não Detectável",2
