"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",135
"São Paulo","Positivo / Detectável",29
"São Paulo","Inconclusivo / Indeterminado",1
"Paraná","Negativo / Não Detectável",76
"Paraná","Positivo / Detectável",19
Bahia,"Negativo / Não Detectável",46
Bahia,"Positivo / Detectável",22
"Rio de Janeiro","Negativo / Não Detectável",45
"Rio de Janeiro","Positivo / Detectável",14
"Minas Gerais","Negativo / Não Detectável",47
"Minas Gerais","Positivo / Detectável",6
"Minas Gerais","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",47
"Rio Grande do Sul","Positivo / Detectável",5
"Santa Catarina","Negativo / Não Detectável",29
"Santa Catarina","Positivo / Detectável",2
Amazonas,"Negativo / Não Detectável",22
Amazonas,"Positivo / Detectável",6
"Ceará","Positivo / Detectável",18
"Ceará","Negativo / Não Detectável",10
"Goiás","Negativo / Não Detectável",18
"Goiás","Positivo / Detectável",2
"Espírito Santo","Negativo / Não Detectável",15
"Espírito Santo","Positivo / Detectável",2
"Mato Grosso do Sul","Negativo / Não Detectável",14
"Mato Grosso do Sul","Positivo / Detectável",2
Sergipe,"Negativo / Não Detectável",7
Sergipe,"Positivo / Detectável",4
"Rondônia","Negativo / Não Detectável",9
"Rondônia","Positivo / Detectável",1
"Piauí","Negativo / Não Detectável",9
"Paraíba","Negativo / Não Detectável",7
"Paraíba","Positivo / Detectável",1
Pernambuco,"Negativo / Não Detectável",5
Pernambuco,"Positivo / Detectável",3
"Rio Grande do Norte","Negativo / Não Detectável",6
"Rio Grande do Norte","Positivo / Detectável",2
Roraima,"Negativo / Não Detectável",6
"Maranhão","Positivo / Detectável",4
"Maranhão","Negativo / Não Detectável",1
"Distrito Federal","Negativo / Não Detectável",4
"Mato Grosso","Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",1
"Pará","Positivo / Detectável",2
"Pará","Negativo / Não Detectável",1
Acre,"Negativo / Não Detectável",2
Alagoas,"Negativo / Não Detectável",1
Tocantins,"Negativo / Não Detectável",1
