"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.898"
"Paraná","Positivo / Detectável","1.948"
"Paraná","Inconclusivo / Indeterminado",32
"São Paulo","Negativo / Não Detectável","4.158"
"São Paulo","Positivo / Detectável","2.875"
"São Paulo","Inconclusivo / Indeterminado",25
Bahia,"Negativo / Não Detectável","2.022"
Bahia,"Positivo / Detectável","1.151"
Bahia,"Inconclusivo / Indeterminado",8
"Santa Catarina","Negativo / Não Detectável","1.014"
"Santa Catarina","Positivo / Detectável",840
"Santa Catarina","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável","1.357"
"Ceará","Positivo / Detectável",227
"Ceará","Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável","1.233"
"Rio de Janeiro","Positivo / Detectável",330
"Rio de Janeiro","Inconclusivo / Indeterminado",8
"Mato Grosso do Sul","Negativo / Não Detectável","1.118"
"Mato Grosso do Sul","Positivo / Detectável",379
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",951
"Rio Grande do Sul","Positivo / Detectável",542
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável",958
"Minas Gerais","Positivo / Detectável",437
"Minas Gerais","Inconclusivo / Indeterminado",32
Pernambuco,"Negativo / Não Detectável",768
Pernambuco,"Positivo / Detectável",453
Pernambuco,"Inconclusivo / Indeterminado",32
"Espírito Santo","Negativo / Não Detectável",627
"Espírito Santo","Positivo / Detectável",418
"Espírito Santo","Inconclusivo / Indeterminado",17
Sergipe,"Positivo / Detectável",655
Sergipe,"Negativo / Não Detectável",252
"Rondônia","Positivo / Detectável",357
"Rondônia","Negativo / Não Detectável",321
"Rondônia","Inconclusivo / Indeterminado",6
"Rio Grande do Norte","Negativo / Não Detectável",405
"Rio Grande do Norte","Positivo / Detectável",276
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",244
Tocantins,"Negativo / Não Detectável",214
"Piauí","Negativo / Não Detectável",201
"Piauí","Positivo / Detectável",143
"Pará","Negativo / Não Detectável",233
"Pará","Positivo / Detectável",82
"Goiás","Negativo / Não Detectável",151
"Goiás","Positivo / Detectável",108
"Goiás","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",140
Acre,"Positivo / Detectável",118
"Paraíba","Negativo / Não Detectável",128
"Paraíba","Positivo / Detectável",81
Amazonas,"Negativo / Não Detectável",130
Amazonas,"Positivo / Detectável",39
Amazonas,"Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",135
"Maranhão","Positivo / Detectável",34
Roraima,"Negativo / Não Detectável",90
Roraima,"Positivo / Detectável",57
"Amapá","Negativo / Não Detectável",101
"Amapá","Positivo / Detectável",22
Alagoas,"Negativo / Não Detectável",83
Alagoas,"Positivo / Detectável",30
"Mato Grosso","Negativo / Não Detectável",10
"Mato Grosso","Positivo / Detectável",4
"Mato Grosso","Inconclusivo / Indeterminado",1
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",3
