"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",28
"Paraná","Positivo / Detectável",4
"Minas Gerais","Negativo / Não Detectável",25
"Minas Gerais","Positivo / Detectável",4
"São Paulo","Negativo / Não Detectável",25
"São Paulo","Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",8
Amazonas,"Positivo / Detectável",2
"Rio Grande do Sul","Negativo / Não Detectável",8
"Rio de Janeiro","Negativo / Não Detectável",7
"Rio de Janeiro","Positivo / Detectável",1
"Ceará","Negativo / Não Detectável",6
"Espírito Santo","Negativo / Não Detectável",6
"Paraíba","Negativo / Não Detectável",6
"Piauí","Negativo / Não Detectável",3
"Piauí","Positivo / Detectável",3
"Mato Grosso do Sul","Negativo / Não Detectável",5
Pernambuco,"Negativo / Não Detectável",5
Acre,"Negativo / Não Detectável",4
Bahia,"Negativo / Não Detectável",3
Bahia,"Positivo / Detectável",1
Tocantins,"Negativo / Não Detectável",2
Tocantins,"Positivo / Detectável",1
"Rio Grande do Norte","Negativo / Não Detectável",1
"Rio Grande do Norte","Positivo / Detectável",1
"Santa Catarina","Negativo / Não Detectável",2
Sergipe,"Negativo / Não Detectável",2
"Pará","Negativo / Não Detectável",1
