"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.197"
"São Paulo","Positivo / Detectável","2.881"
"São Paulo","Inconclusivo / Indeterminado",137
"Paraná","Negativo / Não Detectável","6.186"
"Paraná","Positivo / Detectável","1.575"
"Paraná","Inconclusivo / Indeterminado",2
Bahia,"Negativo / Não Detectável","2.530"
Bahia,"Positivo / Detectável","1.030"
Bahia,"Inconclusivo / Indeterminado",26
Pernambuco,"Negativo / Não Detectável","1.586"
Pernambuco,"Positivo / Detectável",558
Pernambuco,"Inconclusivo / Indeterminado",10
"Santa Catarina","Negativo / Não Detectável","1.294"
"Santa Catarina","Positivo / Detectável",653
"Santa Catarina","Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável","1.358"
"Rio Grande do Sul","Positivo / Detectável",476
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
"Rio de Janeiro","Negativo / Não Detectável","1.395"
"Rio de Janeiro","Positivo / Detectável",342
"Rio de Janeiro","Inconclusivo / Indeterminado",13
"Minas Gerais","Negativo / Não Detectável",929
"Minas Gerais","Positivo / Detectável",411
"Minas Gerais","Inconclusivo / Indeterminado",19
"Mato Grosso do Sul","Negativo / Não Detectável",919
"Mato Grosso do Sul","Positivo / Detectável",396
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Ceará","Negativo / Não Detectável",843
"Ceará","Positivo / Detectável",344
"Espírito Santo","Negativo / Não Detectável",587
"Espírito Santo","Positivo / Detectável",389
"Espírito Santo","Inconclusivo / Indeterminado",7
"Rio Grande do Norte","Negativo / Não Detectável",548
"Rio Grande do Norte","Positivo / Detectável",289
Sergipe,"Negativo / Não Detectável",484
Sergipe,"Positivo / Detectável",277
"Rondônia","Positivo / Detectável",440
"Rondônia","Negativo / Não Detectável",296
"Rondônia","Inconclusivo / Indeterminado",4
Tocantins,"Positivo / Detectável",373
Tocantins,"Negativo / Não Detectável",234
"Goiás","Negativo / Não Detectável",286
"Goiás","Positivo / Detectável",284
"Pará","Negativo / Não Detectável",265
"Pará","Positivo / Detectável",84
"Piauí","Negativo / Não Detectável",191
"Piauí","Positivo / Detectável",105
"Paraíba","Negativo / Não Detectável",126
"Paraíba","Positivo / Detectável",98
Amazonas,"Negativo / Não Detectável",127
Amazonas,"Positivo / Detectável",51
Amazonas,"Inconclusivo / Indeterminado",2
Acre,"Negativo / Não Detectável",91
Acre,"Positivo / Detectável",85
"Maranhão","Negativo / Não Detectável",134
"Maranhão","Positivo / Detectável",41
Roraima,"Negativo / Não Detectável",90
Roraima,"Positivo / Detectável",29
Alagoas,"Negativo / Não Detectável",75
Alagoas,"Positivo / Detectável",38
Alagoas,"Inconclusivo / Indeterminado",1
"Amapá","Negativo / Não Detectável",76
"Amapá","Positivo / Detectável",12
"Distrito Federal","Negativo / Não Detectável",10
"Distrito Federal","Positivo / Detectável",5
"Mato Grosso","Positivo / Detectável",5
"Mato Grosso","Negativo / Não Detectável",2
