"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",96
"São Paulo","Positivo / Detectável",27
"Paraná","Negativo / Não Detectável",69
"Paraná","Positivo / Detectável",16
"Rio de Janeiro","Negativo / Não Detectável",50
"Rio de Janeiro","Positivo / Detectável",14
"Minas Gerais","Negativo / Não Detectável",42
"Minas Gerais","Positivo / Detectável",9
"Minas Gerais","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",50
"Rio Grande do Sul","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",34
Amazonas,"Positivo / Detectável",2
Bahia,"Negativo / Não Detectável",22
Bahia,"Positivo / Detectável",11
"Mato Grosso do Sul","Negativo / Não Detectável",29
"Mato Grosso do Sul","Positivo / Detectável",2
"Santa Catarina","Negativo / Não Detectável",14
"Santa Catarina","Positivo / Detectável",4
"Paraíba","Negativo / Não Detectável",12
"Paraíba","Positivo / Detectável",3
"Piauí","Negativo / Não Detectável",11
"Piauí","Positivo / Detectável",4
Pernambuco,"Negativo / Não Detectável",8
Pernambuco,"Positivo / Detectável",5
Sergipe,"Negativo / Não Detectável",12
Sergipe,"Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",11
"Maranhão","Positivo / Detectável",6
"Maranhão","Negativo / Não Detectável",5
Acre,"Negativo / Não Detectável",8
"Ceará","Negativo / Não Detectável",5
"Ceará","Positivo / Detectável",3
"Goiás","Negativo / Não Detectável",6
"Goiás","Positivo / Detectável",1
"Pará","Negativo / Não Detectável",3
"Pará","Positivo / Detectável",3
"Rio Grande do Norte","Negativo / Não Detectável",3
"Rio Grande do Norte","Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",2
"Distrito Federal","Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",3
"Rondônia","Negativo / Não Detectável",3
Roraima,"Negativo / Não Detectável",2
Roraima,"Positivo / Detectável",1
Alagoas,"Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",1
