"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",684
"São Paulo","Positivo / Detectável",527
"São Paulo","Inconclusivo / Indeterminado",8
"Paraná","Negativo / Não Detectável",602
"Paraná","Positivo / Detectável",255
"Paraná","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável",416
Bahia,"Positivo / Detectável",327
Bahia,"Inconclusivo / Indeterminado",14
"Espírito Santo","Positivo / Detectável",306
"Espírito Santo","Negativo / Não Detectável",151
"Espírito Santo","Inconclusivo / Indeterminado",8
"Minas Gerais","Negativo / Não Detectável",235
"Minas Gerais","Positivo / Detectável",115
"Minas Gerais","Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável",178
"Rio Grande do Sul","Positivo / Detectável",111
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",225
"Mato Grosso do Sul","Positivo / Detectável",49
"Rio de Janeiro","Negativo / Não Detectável",153
"Rio de Janeiro","Positivo / Detectável",118
"Pará","Negativo / Não Detectável",182
"Pará","Positivo / Detectável",77
Sergipe,"Positivo / Detectável",203
Sergipe,"Negativo / Não Detectável",53
"Piauí","Positivo / Detectável",128
"Piauí","Negativo / Não Detectável",83
"Piauí","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável",116
Pernambuco,"Positivo / Detectável",90
Pernambuco,"Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",122
"Ceará","Negativo / Não Detectável",84
"Ceará","Inconclusivo / Indeterminado",2
"Mato Grosso","Negativo / Não Detectável",94
"Mato Grosso","Positivo / Detectável",92
"Rondônia","Positivo / Detectável",92
"Rondônia","Negativo / Não Detectável",85
"Rondônia","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",102
"Santa Catarina","Positivo / Detectável",77
"Santa Catarina","Inconclusivo / Indeterminado",1
"Goiás","Positivo / Detectável",89
"Goiás","Negativo / Não Detectável",87
"Rio Grande do Norte","Positivo / Detectável",87
"Rio Grande do Norte","Negativo / Não Detectável",44
Acre,"Positivo / Detectável",72
Acre,"Negativo / Não Detectável",45
Tocantins,"Positivo / Detectável",54
Tocantins,"Negativo / Não Detectável",49
"Maranhão","Negativo / Não Detectável",64
"Maranhão","Positivo / Detectável",35
"Paraíba","Positivo / Detectável",61
"Paraíba","Negativo / Não Detectável",35
"Amapá","Positivo / Detectável",56
"Amapá","Negativo / Não Detectável",30
Alagoas,"Positivo / Detectável",47
Alagoas,"Negativo / Não Detectável",35
Amazonas,"Negativo / Não Detectável",34
Amazonas,"Positivo / Detectável",18
Roraima,"Positivo / Detectável",17
Roraima,"Negativo / Não Detectável",13
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
