"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",54
"Paraná","Positivo / Detectável",7
"Minas Gerais","Negativo / Não Detectável",31
"Minas Gerais","Positivo / Detectável",5
"Rio Grande do Sul","Negativo / Não Detectável",29
"Mato Grosso do Sul","Negativo / Não Detectável",20
"Rio de Janeiro","Negativo / Não Detectável",13
"Rio de Janeiro","Positivo / Detectável",7
Amazonas,"Negativo / Não Detectável",12
Amazonas,"Positivo / Detectável",5
"São Paulo","Negativo / Não Detectável",12
"São Paulo","Positivo / Detectável",5
"Santa Catarina","Negativo / Não Detectável",10
"Santa Catarina","Positivo / Detectável",2
"Ceará","Negativo / Não Detectável",11
Pernambuco,"Negativo / Não Detectável",11
"Paraíba","Negativo / Não Detectável",10
Acre,"Negativo / Não Detectável",6
"Pará","Negativo / Não Detectável",3
"Pará","Positivo / Detectável",2
Bahia,"Negativo / Não Detectável",4
"Espírito Santo","Negativo / Não Detectável",4
"Goiás","Negativo / Não Detectável",4
"Piauí","Negativo / Não Detectável",3
"Piauí","Positivo / Detectável",1
"Rio Grande do Norte","Negativo / Não Detectável",3
"Rio Grande do Norte","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",2
Alagoas,"Negativo / Não Detectável",1
Tocantins,"Negativo / Não Detectável",1
