"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",710
"São Paulo","Positivo / Detectável",346
"São Paulo","Inconclusivo / Indeterminado",21
Bahia,"Negativo / Não Detectável",462
Bahia,"Positivo / Detectável",353
Bahia,"Inconclusivo / Indeterminado",10
"Espírito Santo","Positivo / Detectável",321
"Espírito Santo","Negativo / Não Detectável",190
"Espírito Santo","Inconclusivo / Indeterminado",14
Pernambuco,"Negativo / Não Detectável",319
Pernambuco,"Positivo / Detectável",159
Pernambuco,"Inconclusivo / Indeterminado",37
"Paraná","Negativo / Não Detectável",425
"Paraná","Positivo / Detectável",58
"Paraná","Inconclusivo / Indeterminado",4
"Ceará","Positivo / Detectável",222
"Ceará","Negativo / Não Detectável",174
"Ceará","Inconclusivo / Indeterminado",9
"Rio de Janeiro","Positivo / Detectável",201
"Rio de Janeiro","Negativo / Não Detectável",152
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Amapá","Positivo / Detectável",206
"Amapá","Negativo / Não Detectável",113
"Amapá","Inconclusivo / Indeterminado",4
Sergipe,"Positivo / Detectável",205
Sergipe,"Negativo / Não Detectável",111
"Santa Catarina","Negativo / Não Detectável",177
"Santa Catarina","Positivo / Detectável",63
Tocantins,"Negativo / Não Detectável",159
Tocantins,"Positivo / Detectável",56
"Piauí","Negativo / Não Detectável",137
"Piauí","Positivo / Detectável",43
"Minas Gerais","Negativo / Não Detectável",132
"Minas Gerais","Positivo / Detectável",46
"Minas Gerais","Inconclusivo / Indeterminado",1
"Rondônia","Positivo / Detectável",86
"Rondônia","Negativo / Não Detectável",79
"Rondônia","Inconclusivo / Indeterminado",12
Acre,"Positivo / Detectável",112
Acre,"Negativo / Não Detectável",58
Acre,"Inconclusivo / Indeterminado",1
Alagoas,"Positivo / Detectável",139
Alagoas,"Negativo / Não Detectável",31
"Rio Grande do Sul","Negativo / Não Detectável",137
"Rio Grande do Sul","Positivo / Detectável",33
"Pará","Positivo / Detectável",97
"Pará","Negativo / Não Detectável",65
"Pará","Inconclusivo / Indeterminado",2
"Goiás","Negativo / Não Detectável",125
"Goiás","Positivo / Detectável",25
"Rio Grande do Norte","Positivo / Detectável",85
"Rio Grande do Norte","Negativo / Não Detectável",65
"Maranhão","Negativo / Não Detectável",64
"Maranhão","Positivo / Detectável",55
"Paraíba","Positivo / Detectável",51
"Paraíba","Negativo / Não Detectável",31
"Paraíba","Inconclusivo / Indeterminado",1
Roraima,"Positivo / Detectável",51
Roraima,"Negativo / Não Detectável",10
"Mato Grosso do Sul","Negativo / Não Detectável",49
"Mato Grosso do Sul","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",4
Amazonas,"Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",1
