"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","5.381"
"São Paulo","Positivo / Detectável","3.707"
"São Paulo","Inconclusivo / Indeterminado",25
"Paraná","Negativo / Não Detectável","6.395"
"Paraná","Positivo / Detectável","2.206"
"Paraná","Inconclusivo / Indeterminado",39
Bahia,"Negativo / Não Detectável","2.241"
Bahia,"Positivo / Detectável","1.166"
Bahia,"Inconclusivo / Indeterminado",12
"Santa Catarina","Negativo / Não Detectável","1.407"
"Santa Catarina","Positivo / Detectável","1.075"
"Santa Catarina","Inconclusivo / Indeterminado",9
Pernambuco,"Negativo / Não Detectável","1.187"
Pernambuco,"Positivo / Detectável",677
Pernambuco,"Inconclusivo / Indeterminado",26
"Rio Grande do Sul","Negativo / Não Detectável","1.027"
"Rio Grande do Sul","Positivo / Detectável",670
"Rio Grande do Sul","Inconclusivo / Indeterminado",7
"Minas Gerais","Negativo / Não Detectável","1.034"
"Minas Gerais","Positivo / Detectável",404
"Minas Gerais","Inconclusivo / Indeterminado",19
"Ceará","Negativo / Não Detectável",965
"Ceará","Positivo / Detectável",321
"Ceará","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável",834
"Mato Grosso do Sul","Positivo / Detectável",353
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Rio de Janeiro","Negativo / Não Detectável",865
"Rio de Janeiro","Positivo / Detectável",293
"Rio de Janeiro","Inconclusivo / Indeterminado",7
"Espírito Santo","Negativo / Não Detectável",565
"Espírito Santo","Positivo / Detectável",383
"Espírito Santo","Inconclusivo / Indeterminado",26
Sergipe,"Positivo / Detectável",650
Sergipe,"Negativo / Não Detectável",279
"Rio Grande do Norte","Negativo / Não Detectável",387
"Rio Grande do Norte","Positivo / Detectável",271
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Rondônia","Positivo / Detectável",413
"Rondônia","Negativo / Não Detectável",242
"Rondônia","Inconclusivo / Indeterminado",2
"Pará","Negativo / Não Detectável",317
"Pará","Positivo / Detectável",154
"Pará","Inconclusivo / Indeterminado",1
Tocantins,"Positivo / Detectável",281
Tocantins,"Negativo / Não Detectável",168
"Piauí","Negativo / Não Detectável",209
"Piauí","Positivo / Detectável",153
"Goiás","Negativo / Não Detectável",207
"Goiás","Positivo / Detectável",140
Acre,"Negativo / Não Detectável",164
Acre,"Positivo / Detectável",145
Acre,"Inconclusivo / Indeterminado",17
"Maranhão","Negativo / Não Detectável",224
"Maranhão","Positivo / Detectável",50
"Paraíba","Negativo / Não Detectável",131
"Paraíba","Positivo / Detectável",76
Alagoas,"Negativo / Não Detectável",96
Alagoas,"Positivo / Detectável",51
Amazonas,"Negativo / Não Detectável",100
Amazonas,"Positivo / Detectável",44
Roraima,"Negativo / Não Detectável",74
Roraima,"Positivo / Detectável",39
"Amapá","Negativo / Não Detectável",80
"Amapá","Positivo / Detectável",18
"Mato Grosso","Negativo / Não Detectável",10
"Mato Grosso","Positivo / Detectável",8
"Distrito Federal","Negativo / Não Detectável",10
"Distrito Federal","Positivo / Detectável",3
