"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",38
"Paraná","Positivo / Detectável",10
"São Paulo","Negativo / Não Detectável",34
"São Paulo","Positivo / Detectável",6
"Minas Gerais","Negativo / Não Detectável",17
"Minas Gerais","Positivo / Detectável",6
Amazonas,"Negativo / Não Detectável",15
"Ceará","Negativo / Não Detectável",11
"Ceará","Positivo / Detectável",4
"Mato Grosso do Sul","Negativo / Não Detectável",15
Bahia,"Negativo / Não Detectável",11
"Rio de Janeiro","Negativo / Não Detectável",7
"Rio de Janeiro","Positivo / Detectável",4
Acre,"Negativo / Não Detectável",9
Acre,"Positivo / Detectável",1
"Paraíba","Negativo / Não Detectável",8
"Paraíba","Positivo / Detectável",2
"Rio Grande do Sul","Negativo / Não Detectável",8
Tocantins,"Negativo / Não Detectável",4
Tocantins,"Positivo / Detectável",1
"Goiás","Negativo / Não Detectável",4
Pernambuco,"Negativo / Não Detectável",3
Pernambuco,"Positivo / Detectável",1
"Santa Catarina","Negativo / Não Detectável",4
Sergipe,"Negativo / Não Detectável",2
Sergipe,"Positivo / Detectável",2
"Maranhão","Negativo / Não Detectável",2
"Maranhão","Positivo / Detectável",1
"Piauí","Negativo / Não Detectável",3
Alagoas,"Negativo / Não Detectável",1
Alagoas,"Positivo / Detectável",1
"Pará","Positivo / Detectável",2
"Rio Grande do Norte","Negativo / Não Detectável",1
"Rio Grande do Norte","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",1
