"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",45
"Paraná","Positivo / Detectável",7
"São Paulo","Negativo / Não Detectável",28
"São Paulo","Positivo / Detectável",4
"Minas Gerais","Negativo / Não Detectável",27
"Minas Gerais","Positivo / Detectável",2
"Rio de Janeiro","Negativo / Não Detectável",28
"Rio de Janeiro","Positivo / Detectável",1
Bahia,"Negativo / Não Detectável",9
Bahia,"Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",10
Amazonas,"Positivo / Detectável",1
"Rio Grande do Sul","Negativo / Não Detectável",10
"Mato Grosso do Sul","Negativo / Não Detectável",6
"Mato Grosso do Sul","Positivo / Detectável",1
"Santa Catarina","Negativo / Não Detectável",5
"Santa Catarina","Positivo / Detectável",2
"Goiás","Negativo / Não Detectável",6
Acre,"Negativo / Não Detectável",5
"Ceará","Negativo / Não Detectável",3
"Ceará","Positivo / Detectável",2
"Piauí","Negativo / Não Detectável",2
"Piauí","Positivo / Detectável",2
"Rondônia","Negativo / Não Detectável",2
"Rondônia","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",2
"Pará","Negativo / Não Detectável",2
Pernambuco,"Negativo / Não Detectável",2
Alagoas,"Positivo / Detectável",1
"Mato Grosso","Negativo / Não Detectável",1
