"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.953"
"Paraná","Positivo / Detectável","1.142"
"Paraná","Inconclusivo / Indeterminado",14
"São Paulo","Negativo / Não Detectável","2.120"
"São Paulo","Positivo / Detectável","1.289"
"São Paulo","Inconclusivo / Indeterminado",13
Bahia,"Negativo / Não Detectável","1.354"
Bahia,"Positivo / Detectável",728
Bahia,"Inconclusivo / Indeterminado",30
"Rio de Janeiro","Negativo / Não Detectável",591
"Rio de Janeiro","Positivo / Detectável",321
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",462
"Espírito Santo","Positivo / Detectável",422
"Espírito Santo","Inconclusivo / Indeterminado",24
"Mato Grosso","Negativo / Não Detectável",522
"Mato Grosso","Positivo / Detectável",374
"Mato Grosso","Inconclusivo / Indeterminado",11
"Mato Grosso do Sul","Negativo / Não Detectável",661
"Mato Grosso do Sul","Positivo / Detectável",160
"Mato Grosso do Sul","Inconclusivo / Indeterminado",7
"Rio Grande do Sul","Negativo / Não Detectável",551
"Rio Grande do Sul","Positivo / Detectável",259
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Santa Catarina","Negativo / Não Detectável",504
"Santa Catarina","Positivo / Detectável",302
"Santa Catarina","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",549
"Minas Gerais","Positivo / Detectável",245
"Minas Gerais","Inconclusivo / Indeterminado",13
Sergipe,"Positivo / Detectável",594
Sergipe,"Negativo / Não Detectável",154
"Rondônia","Positivo / Detectável",340
"Rondônia","Negativo / Não Detectável",262
"Rondônia","Inconclusivo / Indeterminado",22
Pernambuco,"Negativo / Não Detectável",361
Pernambuco,"Positivo / Detectável",240
Pernambuco,"Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável",338
"Ceará","Positivo / Detectável",232
"Ceará","Inconclusivo / Indeterminado",4
"Piauí","Negativo / Não Detectável",254
"Piauí","Positivo / Detectável",217
"Piauí","Inconclusivo / Indeterminado",4
"Rio Grande do Norte","Positivo / Detectável",263
"Rio Grande do Norte","Negativo / Não Detectável",173
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",259
"Pará","Positivo / Detectável",136
Acre,"Negativo / Não Detectável",176
Acre,"Positivo / Detectável",146
Acre,"Inconclusivo / Indeterminado",2
"Goiás","Negativo / Não Detectável",139
"Goiás","Positivo / Detectável",137
"Maranhão","Negativo / Não Detectável",213
"Maranhão","Positivo / Detectável",55
"Paraíba","Negativo / Não Detectável",106
"Paraíba","Positivo / Detectável",104
"Amapá","Positivo / Detectável",141
"Amapá","Negativo / Não Detectável",61
"Amapá","Inconclusivo / Indeterminado",2
Amazonas,"Negativo / Não Detectável",153
Amazonas,"Positivo / Detectável",29
Amazonas,"Inconclusivo / Indeterminado",3
Tocantins,"Positivo / Detectável",86
Tocantins,"Negativo / Não Detectável",71
Alagoas,"Positivo / Detectável",61
Alagoas,"Negativo / Não Detectável",53
Roraima,"Positivo / Detectável",59
Roraima,"Negativo / Não Detectável",13
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",2
