"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",51
"Paraná","Positivo / Detectável",9
"São Paulo","Negativo / Não Detectável",28
"São Paulo","Positivo / Detectável",6
"São Paulo","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",31
"Minas Gerais","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",17
Amazonas,"Positivo / Detectável",3
"Mato Grosso do Sul","Negativo / Não Detectável",15
"Mato Grosso do Sul","Positivo / Detectável",5
Pernambuco,"Negativo / Não Detectável",12
Pernambuco,"Positivo / Detectável",1
"Goiás","Negativo / Não Detectável",10
"Goiás","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",9
"Ceará","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",8
"Espírito Santo","Positivo / Detectável",2
"Rio Grande do Sul","Negativo / Não Detectável",10
"Rio de Janeiro","Negativo / Não Detectável",8
"Piauí","Negativo / Não Detectável",6
"Piauí","Positivo / Detectável",1
Acre,"Negativo / Não Detectável",6
"Santa Catarina","Negativo / Não Detectável",6
Bahia,"Negativo / Não Detectável",4
Bahia,"Positivo / Detectável",1
"Rondônia","Negativo / Não Detectável",1
"Rondônia","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",1
