"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.577"
"São Paulo","Positivo / Detectável",744
"São Paulo","Inconclusivo / Indeterminado",7
"Paraná","Negativo / Não Detectável","1.436"
"Paraná","Positivo / Detectável",468
"Paraná","Inconclusivo / Indeterminado",3
"Rio Grande do Sul","Negativo / Não Detectável",819
"Rio Grande do Sul","Positivo / Detectável",369
"Rio Grande do Sul","Inconclusivo / Indeterminado",9
Bahia,"Negativo / Não Detectável",286
Bahia,"Positivo / Detectável",239
Bahia,"Inconclusivo / Indeterminado",12
Pernambuco,"Negativo / Não Detectável",443
Pernambuco,"Positivo / Detectável",84
"Santa Catarina","Negativo / Não Detectável",349
"Santa Catarina","Positivo / Detectável",143
"Santa Catarina","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",354
"Minas Gerais","Positivo / Detectável",129
"Minas Gerais","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável",270
"Rio de Janeiro","Positivo / Detectável",162
"Rio de Janeiro","Inconclusivo / Indeterminado",8
"Mato Grosso do Sul","Negativo / Não Detectável",320
"Mato Grosso do Sul","Positivo / Detectável",95
"Ceará","Negativo / Não Detectável",279
"Ceará","Positivo / Detectável",91
Sergipe,"Positivo / Detectável",124
Sergipe,"Negativo / Não Detectável",89
Amazonas,"Negativo / Não Detectável",89
Amazonas,"Positivo / Detectável",45
"Rio Grande do Norte","Negativo / Não Detectável",105
"Rio Grande do Norte","Positivo / Detectável",18
"Rondônia","Negativo / Não Detectável",87
"Rondônia","Positivo / Detectável",30
"Rondônia","Inconclusivo / Indeterminado",2
"Maranhão","Negativo / Não Detectável",102
"Maranhão","Positivo / Detectável",9
Tocantins,"Negativo / Não Detectável",76
Tocantins,"Positivo / Detectável",35
"Goiás","Negativo / Não Detectável",51
"Goiás","Positivo / Detectável",47
"Pará","Negativo / Não Detectável",62
"Pará","Positivo / Detectável",26
"Paraíba","Negativo / Não Detectável",53
"Paraíba","Positivo / Detectável",26
Acre,"Negativo / Não Detectável",51
Acre,"Positivo / Detectável",25
Alagoas,"Negativo / Não Detectável",28
Alagoas,"Positivo / Detectável",9
Roraima,"Negativo / Não Detectável",13
Roraima,"Positivo / Detectável",10
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",2
"Mato Grosso","Positivo / Detectável",2
"Piauí","Negativo / Não Detectável",3
"Piauí","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",2
