"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","2.853"
"São Paulo","Positivo / Detectável","2.000"
"São Paulo","Inconclusivo / Indeterminado",33
"Paraná","Negativo / Não Detectável","3.425"
"Paraná","Positivo / Detectável","1.255"
"Paraná","Inconclusivo / Indeterminado",15
Bahia,"Negativo / Não Detectável","1.403"
Bahia,"Positivo / Detectável",798
Bahia,"Inconclusivo / Indeterminado",20
"Minas Gerais","Negativo / Não Detectável","1.033"
"Minas Gerais","Positivo / Detectável",450
"Minas Gerais","Inconclusivo / Indeterminado",34
"Rio Grande do Sul","Negativo / Não Detectável",862
"Rio Grande do Sul","Positivo / Detectável",337
"Rio Grande do Sul","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável",835
"Rio de Janeiro","Positivo / Detectável",305
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Mato Grosso","Negativo / Não Detectável",652
"Mato Grosso","Positivo / Detectável",454
"Mato Grosso","Inconclusivo / Indeterminado",12
"Espírito Santo","Positivo / Detectável",551
"Espírito Santo","Negativo / Não Detectável",436
"Espírito Santo","Inconclusivo / Indeterminado",17
"Santa Catarina","Negativo / Não Detectável",541
"Santa Catarina","Positivo / Detectável",410
"Santa Catarina","Inconclusivo / Indeterminado",3
"Rondônia","Negativo / Não Detectável",514
"Rondônia","Positivo / Detectável",428
"Rondônia","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável",577
Pernambuco,"Positivo / Detectável",330
Pernambuco,"Inconclusivo / Indeterminado",16
Sergipe,"Positivo / Detectável",742
Sergipe,"Negativo / Não Detectável",169
"Mato Grosso do Sul","Negativo / Não Detectável",687
"Mato Grosso do Sul","Positivo / Detectável",176
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",437
"Ceará","Positivo / Detectável",190
"Rio Grande do Norte","Positivo / Detectável",316
"Rio Grande do Norte","Negativo / Não Detectável",269
Tocantins,"Positivo / Detectável",205
Tocantins,"Negativo / Não Detectável",175
"Goiás","Negativo / Não Detectável",189
"Goiás","Positivo / Detectável",182
"Goiás","Inconclusivo / Indeterminado",2
"Piauí","Positivo / Detectável",164
"Piauí","Negativo / Não Detectável",127
"Piauí","Inconclusivo / Indeterminado",1
"Pará","Negativo / Não Detectável",187
"Pará","Positivo / Detectável",75
Amazonas,"Negativo / Não Detectável",129
Amazonas,"Positivo / Detectável",123
"Paraíba","Negativo / Não Detectável",163
"Paraíba","Positivo / Detectável",76
"Maranhão","Negativo / Não Detectável",179
"Maranhão","Positivo / Detectável",38
Roraima,"Negativo / Não Detectável",130
Roraima,"Positivo / Detectável",78
Acre,"Negativo / Não Detectável",105
Acre,"Positivo / Detectável",100
Acre,"Inconclusivo / Indeterminado",1
"Amapá","Negativo / Não Detectável",94
"Amapá","Positivo / Detectável",31
"Amapá","Inconclusivo / Indeterminado",1
Alagoas,"Negativo / Não Detectável",91
Alagoas,"Positivo / Detectável",34
"Distrito Federal","Positivo / Detectável",7
"Distrito Federal","Negativo / Não Detectável",4
