"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.441"
"São Paulo","Positivo / Detectável",243
"São Paulo","Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",813
"Paraná","Positivo / Detectável",85
"Minas Gerais","Negativo / Não Detectável",628
"Minas Gerais","Positivo / Detectável",24
"Minas Gerais","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",478
"Ceará","Positivo / Detectável",118
"Ceará","Inconclusivo / Indeterminado",8
Bahia,"Negativo / Não Detectável",432
Bahia,"Positivo / Detectável",38
"Rio de Janeiro","Negativo / Não Detectável",333
"Rio de Janeiro","Positivo / Detectável",43
"Rio de Janeiro","Inconclusivo / Indeterminado",11
"Rio Grande do Sul","Negativo / Não Detectável",313
"Rio Grande do Sul","Positivo / Detectável",12
"Maranhão","Negativo / Não Detectável",282
"Maranhão","Positivo / Detectável",22
"Goiás","Negativo / Não Detectável",202
"Goiás","Positivo / Detectável",21
"Goiás","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",157
"Rio Grande do Norte","Positivo / Detectável",27
"Pará","Negativo / Não Detectável",159
"Pará","Positivo / Detectável",21
"Espírito Santo","Negativo / Não Detectável",137
"Espírito Santo","Positivo / Detectável",8
"Espírito Santo","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",116
Pernambuco,"Positivo / Detectável",21
"Santa Catarina","Negativo / Não Detectável",118
"Santa Catarina","Positivo / Detectável",13
"Piauí","Negativo / Não Detectável",100
"Piauí","Positivo / Detectável",16
Amazonas,"Negativo / Não Detectável",80
Amazonas,"Positivo / Detectável",20
Amazonas,"Inconclusivo / Indeterminado",2
"Amapá","Negativo / Não Detectável",94
"Amapá","Positivo / Detectável",2
"Rondônia","Negativo / Não Detectável",92
"Rondônia","Positivo / Detectável",4
Sergipe,"Negativo / Não Detectável",87
Sergipe,"Positivo / Detectável",8
Alagoas,"Negativo / Não Detectável",74
Alagoas,"Positivo / Detectável",8
Alagoas,"Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",72
"Mato Grosso do Sul","Positivo / Detectável",9
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",72
"Paraíba","Positivo / Detectável",2
"Mato Grosso","Negativo / Não Detectável",56
Acre,"Negativo / Não Detectável",42
Acre,"Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",34
Tocantins,"Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",15
Roraima,"Positivo / Detectável",6
"Distrito Federal","Negativo / Não Detectável",2
