"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",484
"São Paulo","Positivo / Detectável",284
"São Paulo","Inconclusivo / Indeterminado",3
Bahia,"Negativo / Não Detectável",419
Bahia,"Positivo / Detectável",299
Bahia,"Inconclusivo / Indeterminado",11
"Espírito Santo","Positivo / Detectável",306
"Espírito Santo","Negativo / Não Detectável",172
"Espírito Santo","Inconclusivo / Indeterminado",11
"Ceará","Positivo / Detectável",333
"Ceará","Negativo / Não Detectável",119
"Ceará","Inconclusivo / Indeterminado",3
"Amapá","Positivo / Detectável",303
"Amapá","Negativo / Não Detectável",78
"Rio de Janeiro","Positivo / Detectável",235
"Rio de Janeiro","Negativo / Não Detectável",135
"Rio de Janeiro","Inconclusivo / Indeterminado",5
Pernambuco,"Positivo / Detectável",267
Pernambuco,"Negativo / Não Detectável",102
Pernambuco,"Inconclusivo / Indeterminado",5
"Paraná","Negativo / Não Detectável",304
"Paraná","Positivo / Detectável",69
Sergipe,"Positivo / Detectável",144
Sergipe,"Negativo / Não Detectável",127
Alagoas,"Positivo / Detectável",161
Alagoas,"Negativo / Não Detectável",49
Tocantins,"Negativo / Não Detectável",143
Tocantins,"Positivo / Detectável",58
"Mato Grosso do Sul","Negativo / Não Detectável",168
"Mato Grosso do Sul","Positivo / Detectável",20
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável",149
"Minas Gerais","Positivo / Detectável",31
"Minas Gerais","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",137
"Santa Catarina","Positivo / Detectável",46
Acre,"Positivo / Detectável",159
Acre,"Negativo / Não Detectável",23
"Rio Grande do Sul","Negativo / Não Detectável",153
"Rio Grande do Sul","Positivo / Detectável",28
"Pará","Positivo / Detectável",98
"Pará","Negativo / Não Detectável",60
Amazonas,"Positivo / Detectável",83
Amazonas,"Negativo / Não Detectável",70
"Rondônia","Negativo / Não Detectável",62
"Rondônia","Positivo / Detectável",59
"Rondônia","Inconclusivo / Indeterminado",6
"Paraíba","Positivo / Detectável",81
"Paraíba","Negativo / Não Detectável",39
"Rio Grande do Norte","Positivo / Detectável",74
"Rio Grande do Norte","Negativo / Não Detectável",38
"Piauí","Negativo / Não Detectável",62
"Piauí","Positivo / Detectável",47
"Goiás","Negativo / Não Detectável",62
"Goiás","Positivo / Detectável",19
"Maranhão","Positivo / Detectável",51
"Maranhão","Negativo / Não Detectável",25
"Mato Grosso","Negativo / Não Detectável",45
"Mato Grosso","Positivo / Detectável",15
Roraima,"Positivo / Detectável",33
Roraima,"Negativo / Não Detectável",5
"Distrito Federal","Negativo / Não Detectável",1
