"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável",30
"Paraná","Positivo / Detectável",6
"São Paulo","Negativo / Não Detectável",8
"São Paulo","Positivo / Detectável",1
"Espírito Santo","Negativo / Não Detectável",4
"Ceará","Negativo / Não Detectável",3
"Minas Gerais","Negativo / Não Detectável",2
"Minas Gerais","Positivo / Detectável",1
"Rio Grande do Sul","Negativo / Não Detectável",3
"Mato Grosso do Sul","Negativo / Não Detectável",2
"Rio de Janeiro","Negativo / Não Detectável",1
"Rio de Janeiro","Positivo / Detectável",1
"Goiás","Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",1
"Santa Catarina","Negativo / Não Detectável",1
Tocantins,"Positivo / Detectável",1
