"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","4.147"
"São Paulo","Positivo / Detectável","2.909"
"São Paulo","Inconclusivo / Indeterminado",27
"Paraná","Negativo / Não Detectável","4.854"
"Paraná","Positivo / Detectável","1.951"
"Paraná","Inconclusivo / Indeterminado",22
Bahia,"Negativo / Não Detectável","2.015"
Bahia,"Positivo / Detectável",888
Bahia,"Inconclusivo / Indeterminado",33
"Minas Gerais","Negativo / Não Detectável","1.196"
"Minas Gerais","Positivo / Detectável",434
"Minas Gerais","Inconclusivo / Indeterminado",20
"Rio de Janeiro","Negativo / Não Detectável","1.167"
"Rio de Janeiro","Positivo / Detectável",405
"Rio de Janeiro","Inconclusivo / Indeterminado",21
"Santa Catarina","Negativo / Não Detectável",763
"Santa Catarina","Positivo / Detectável",686
"Santa Catarina","Inconclusivo / Indeterminado",8
"Rio Grande do Sul","Negativo / Não Detectável",916
"Rio Grande do Sul","Positivo / Detectável",469
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
"Mato Grosso do Sul","Negativo / Não Detectável",820
"Mato Grosso do Sul","Positivo / Detectável",273
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",626
Pernambuco,"Positivo / Detectável",413
Pernambuco,"Inconclusivo / Indeterminado",33
Sergipe,"Positivo / Detectável",754
Sergipe,"Negativo / Não Detectável",305
"Espírito Santo","Negativo / Não Detectável",512
"Espírito Santo","Positivo / Detectável",435
"Espírito Santo","Inconclusivo / Indeterminado",15
"Ceará","Negativo / Não Detectável",472
"Ceará","Positivo / Detectável",235
"Ceará","Inconclusivo / Indeterminado",2
"Rio Grande do Norte","Negativo / Não Detectável",358
"Rio Grande do Norte","Positivo / Detectável",315
Tocantins,"Negativo / Não Detectável",233
Tocantins,"Positivo / Detectável",229
"Rondônia","Positivo / Detectável",280
"Rondônia","Negativo / Não Detectável",168
"Rondônia","Inconclusivo / Indeterminado",12
"Piauí","Negativo / Não Detectável",176
"Piauí","Positivo / Detectável",162
"Pará","Negativo / Não Detectável",189
"Pará","Positivo / Detectável",101
"Goiás","Positivo / Detectável",149
"Goiás","Negativo / Não Detectável",129
"Paraíba","Negativo / Não Detectável",149
"Paraíba","Positivo / Detectável",103
"Paraíba","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",206
"Maranhão","Positivo / Detectável",45
Acre,"Negativo / Não Detectável",123
Acre,"Positivo / Detectável",104
Roraima,"Negativo / Não Detectável",153
Roraima,"Positivo / Detectável",66
"Amapá","Negativo / Não Detectável",152
"Amapá","Positivo / Detectável",45
Amazonas,"Negativo / Não Detectável",85
Amazonas,"Positivo / Detectável",37
Amazonas,"Inconclusivo / Indeterminado",2
Alagoas,"Negativo / Não Detectável",69
Alagoas,"Positivo / Detectável",31
"Mato Grosso","Positivo / Detectável",15
"Mato Grosso","Negativo / Não Detectável",12
"Mato Grosso","Inconclusivo / Indeterminado",1
"Distrito Federal","Positivo / Detectável",11
"Distrito Federal","Negativo / Não Detectável",5
