"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",956
"São Paulo","Positivo / Detectável",390
"São Paulo","Inconclusivo / Indeterminado",46
"Rio de Janeiro","Positivo / Detectável",600
"Rio de Janeiro","Negativo / Não Detectável",330
"Rio de Janeiro","Inconclusivo / Indeterminado",37
Pernambuco,"Negativo / Não Detectável",498
Pernambuco,"Positivo / Detectável",459
Pernambuco,"Inconclusivo / Indeterminado",5
"Paraná","Negativo / Não Detectável",759
"Paraná","Positivo / Detectável",46
"Espírito Santo","Negativo / Não Detectável",423
"Espírito Santo","Positivo / Detectável",104
"Espírito Santo","Inconclusivo / Indeterminado",1
Amazonas,"Positivo / Detectável",305
Amazonas,"Negativo / Não Detectável",208
Amazonas,"Inconclusivo / Indeterminado",5
"Minas Gerais","Negativo / Não Detectável",455
"Minas Gerais","Positivo / Detectável",22
"Minas Gerais","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável",392
Bahia,"Positivo / Detectável",42
"Ceará","Positivo / Detectável",198
"Ceará","Negativo / Não Detectável",174
"Ceará","Inconclusivo / Indeterminado",6
"Santa Catarina","Negativo / Não Detectável",293
"Santa Catarina","Positivo / Detectável",34
"Maranhão","Positivo / Detectável",212
"Maranhão","Negativo / Não Detectável",88
"Rio Grande do Sul","Negativo / Não Detectável",265
"Rio Grande do Sul","Positivo / Detectável",26
"Pará","Positivo / Detectável",133
"Pará","Negativo / Não Detectável",73
"Pará","Inconclusivo / Indeterminado",2
"Amapá","Negativo / Não Detectável",134
"Amapá","Positivo / Detectável",42
"Mato Grosso do Sul","Negativo / Não Detectável",156
"Mato Grosso do Sul","Positivo / Detectável",6
"Rondônia","Negativo / Não Detectável",124
"Rondônia","Positivo / Detectável",15
"Goiás","Negativo / Não Detectável",126
"Goiás","Positivo / Detectável",11
"Piauí","Negativo / Não Detectável",103
"Piauí","Positivo / Detectável",8
"Rio Grande do Norte","Negativo / Não Detectável",70
"Rio Grande do Norte","Positivo / Detectável",24
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",66
Acre,"Positivo / Detectável",15
Sergipe,"Negativo / Não Detectável",61
Sergipe,"Positivo / Detectável",4
Alagoas,"Negativo / Não Detectável",45
Alagoas,"Positivo / Detectável",5
Alagoas,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",38
"Paraíba","Positivo / Detectável",12
Roraima,"Positivo / Detectável",30
Roraima,"Negativo / Não Detectável",18
"Mato Grosso","Negativo / Não Detectável",35
"Mato Grosso","Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",7
Tocantins,"Positivo / Detectável",1
"Distrito Federal","Negativo / Não Detectável",2
