"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",650
"São Paulo","Positivo / Detectável",365
"São Paulo","Inconclusivo / Indeterminado",4
"Paraná","Negativo / Não Detectável",726
"Paraná","Positivo / Detectável",150
"Paraná","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável",430
Bahia,"Positivo / Detectável",306
Bahia,"Inconclusivo / Indeterminado",9
"Espírito Santo","Positivo / Detectável",321
"Espírito Santo","Negativo / Não Detectável",234
"Espírito Santo","Inconclusivo / Indeterminado",22
Pernambuco,"Positivo / Detectável",193
Pernambuco,"Negativo / Não Detectável",157
Pernambuco,"Inconclusivo / Indeterminado",10
Sergipe,"Positivo / Detectável",194
Sergipe,"Negativo / Não Detectável",108
"Ceará","Positivo / Detectável",159
"Ceará","Negativo / Não Detectável",133
"Ceará","Inconclusivo / Indeterminado",4
"Santa Catarina","Negativo / Não Detectável",212
"Santa Catarina","Positivo / Detectável",70
"Amapá","Positivo / Detectável",143
"Amapá","Negativo / Não Detectável",86
Tocantins,"Negativo / Não Detectável",151
Tocantins,"Positivo / Detectável",78
"Minas Gerais","Negativo / Não Detectável",154
"Minas Gerais","Positivo / Detectável",52
"Minas Gerais","Inconclusivo / Indeterminado",6
"Rio de Janeiro","Negativo / Não Detectável",111
"Rio de Janeiro","Positivo / Detectável",98
"Rio de Janeiro","Inconclusivo / Indeterminado",2
"Rio Grande do Sul","Negativo / Não Detectável",137
"Rio Grande do Sul","Positivo / Detectável",39
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
"Rondônia","Positivo / Detectável",93
"Rondônia","Negativo / Não Detectável",81
"Rondônia","Inconclusivo / Indeterminado",4
"Rio Grande do Norte","Positivo / Detectável",104
"Rio Grande do Norte","Negativo / Não Detectável",58
"Piauí","Negativo / Não Detectável",82
"Piauí","Positivo / Detectável",64
"Piauí","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",99
"Goiás","Positivo / Detectável",34
Alagoas,"Positivo / Detectável",103
Alagoas,"Negativo / Não Detectável",16
"Pará","Negativo / Não Detectável",55
"Pará","Positivo / Detectável",52
"Paraíba","Positivo / Detectável",65
"Paraíba","Negativo / Não Detectável",37
"Paraíba","Inconclusivo / Indeterminado",1
Acre,"Positivo / Detectável",60
Acre,"Negativo / Não Detectável",35
Acre,"Inconclusivo / Indeterminado",2
"Maranhão","Negativo / Não Detectável",47
"Maranhão","Positivo / Detectável",41
Roraima,"Positivo / Detectável",41
Roraima,"Negativo / Não Detectável",10
"Mato Grosso do Sul","Negativo / Não Detectável",35
"Mato Grosso do Sul","Positivo / Detectável",4
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Mato Grosso","Positivo / Detectável",5
"Mato Grosso","Negativo / Não Detectável",3
Amazonas,"Negativo / Não Detectável",2
Amazonas,"Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",2
"Distrito Federal","Positivo / Detectável",1
