"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.052"
"São Paulo","Positivo / Detectável",494
"São Paulo","Inconclusivo / Indeterminado",2
"Paraná","Negativo / Não Detectável","1.122"
"Paraná","Positivo / Detectável",314
"Rio Grande do Sul","Negativo / Não Detectável",444
"Rio Grande do Sul","Positivo / Detectável",239
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável",269
"Minas Gerais","Positivo / Detectável",83
"Minas Gerais","Inconclusivo / Indeterminado",5
Pernambuco,"Negativo / Não Detectável",271
Pernambuco,"Positivo / Detectável",65
"Rio de Janeiro","Negativo / Não Detectável",202
"Rio de Janeiro","Positivo / Detectável",92
"Rio de Janeiro","Inconclusivo / Indeterminado",7
Bahia,"Negativo / Não Detectável",183
Bahia,"Positivo / Detectável",105
Bahia,"Inconclusivo / Indeterminado",10
"Mato Grosso do Sul","Negativo / Não Detectável",201
"Mato Grosso do Sul","Positivo / Detectável",64
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",180
"Santa Catarina","Positivo / Detectável",79
"Ceará","Negativo / Não Detectável",197
"Ceará","Positivo / Detectável",52
Sergipe,"Positivo / Detectável",81
Sergipe,"Negativo / Não Detectável",65
"Rio Grande do Norte","Negativo / Não Detectável",107
"Rio Grande do Norte","Positivo / Detectável",24
"Goiás","Negativo / Não Detectável",39
"Goiás","Positivo / Detectável",34
Acre,"Negativo / Não Detectável",55
Acre,"Positivo / Detectável",13
Acre,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",47
"Paraíba","Positivo / Detectável",14
"Pará","Negativo / Não Detectável",43
"Pará","Positivo / Detectável",14
"Rondônia","Negativo / Não Detectável",39
"Rondônia","Positivo / Detectável",15
Tocantins,"Negativo / Não Detectável",28
Tocantins,"Positivo / Detectável",23
"Maranhão","Negativo / Não Detectável",38
"Maranhão","Positivo / Detectável",9
Amazonas,"Negativo / Não Detectável",19
Amazonas,"Positivo / Detectável",15
Alagoas,"Negativo / Não Detectável",24
Alagoas,"Positivo / Detectável",3
Roraima,"Positivo / Detectável",9
Roraima,"Negativo / Não Detectável",2
"Distrito Federal","Negativo / Não Detectável",5
"Mato Grosso","Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",2
"Espírito Santo","Negativo / Não Detectável",1
"Piauí","Positivo / Detectável",1
