"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","6.132"
"São Paulo","Positivo / Detectável","3.062"
"São Paulo","Inconclusivo / Indeterminado",27
"Paraná","Negativo / Não Detectável","6.345"
"Paraná","Positivo / Detectável","1.995"
"Paraná","Inconclusivo / Indeterminado",1
Bahia,"Negativo / Não Detectável","1.991"
Bahia,"Positivo / Detectável",845
Bahia,"Inconclusivo / Indeterminado",10
"Rio Grande do Sul","Negativo / Não Detectável","1.927"
"Rio Grande do Sul","Positivo / Detectável",589
"Rio Grande do Sul","Inconclusivo / Indeterminado",5
"Santa Catarina","Negativo / Não Detectável","1.521"
"Santa Catarina","Positivo / Detectável",535
"Santa Catarina","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável","1.556"
Pernambuco,"Positivo / Detectável",353
Pernambuco,"Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável","1.257"
"Minas Gerais","Positivo / Detectável",341
"Minas Gerais","Inconclusivo / Indeterminado",20
"Ceará","Negativo / Não Detectável","1.173"
"Ceará","Positivo / Detectável",295
"Mato Grosso do Sul","Negativo / Não Detectável","1.014"
"Mato Grosso do Sul","Positivo / Detectável",400
"Mato Grosso do Sul","Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável",995
"Rio de Janeiro","Positivo / Detectável",343
"Rio de Janeiro","Inconclusivo / Indeterminado",8
Tocantins,"Negativo / Não Detectável",592
Tocantins,"Positivo / Detectável",563
"Espírito Santo","Negativo / Não Detectável",691
"Espírito Santo","Positivo / Detectável",337
"Espírito Santo","Inconclusivo / Indeterminado",24
"Rio Grande do Norte","Negativo / Não Detectável",675
"Rio Grande do Norte","Positivo / Detectável",266
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
"Rondônia","Negativo / Não Detectável",570
"Rondônia","Positivo / Detectável",306
"Rondônia","Inconclusivo / Indeterminado",7
"Goiás","Negativo / Não Detectável",576
"Goiás","Positivo / Detectável",298
Sergipe,"Negativo / Não Detectável",504
Sergipe,"Positivo / Detectável",232
"Pará","Negativo / Não Detectável",357
"Pará","Positivo / Detectável",92
"Pará","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",244
"Piauí","Positivo / Detectável",116
"Piauí","Inconclusivo / Indeterminado",3
"Maranhão","Negativo / Não Detectável",185
"Maranhão","Positivo / Detectável",36
"Paraíba","Negativo / Não Detectável",138
"Paraíba","Positivo / Detectável",78
Acre,"Negativo / Não Detectável",139
Acre,"Positivo / Detectável",46
Alagoas,"Negativo / Não Detectável",109
Alagoas,"Positivo / Detectável",10
Amazonas,"Negativo / Não Detectável",88
Amazonas,"Positivo / Detectável",27
Roraima,"Negativo / Não Detectável",81
Roraima,"Positivo / Detectável",19
"Amapá","Negativo / Não Detectável",83
"Amapá","Positivo / Detectável",7
"Mato Grosso","Negativo / Não Detectável",46
"Mato Grosso","Positivo / Detectável",16
"Distrito Federal","Negativo / Não Detectável",15
"Distrito Federal","Positivo / Detectável",9
