"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.518"
"São Paulo","Positivo / Detectável",575
"São Paulo","Inconclusivo / Indeterminado",25
Bahia,"Negativo / Não Detectável","1.091"
Bahia,"Positivo / Detectável",630
Bahia,"Inconclusivo / Indeterminado",22
"Paraná","Negativo / Não Detectável","1.142"
"Paraná","Positivo / Detectável",249
"Paraná","Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável",635
"Rio de Janeiro","Positivo / Detectável",369
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Espírito Santo","Positivo / Detectável",502
"Espírito Santo","Negativo / Não Detectável",356
"Espírito Santo","Inconclusivo / Indeterminado",26
Pernambuco,"Negativo / Não Detectável",426
Pernambuco,"Positivo / Detectável",401
Pernambuco,"Inconclusivo / Indeterminado",5
"Santa Catarina","Negativo / Não Detectável",545
"Santa Catarina","Positivo / Detectável",172
"Santa Catarina","Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",360
"Ceará","Negativo / Não Detectável",283
"Ceará","Inconclusivo / Indeterminado",5
Sergipe,"Positivo / Detectável",453
Sergipe,"Negativo / Não Detectável",135
"Minas Gerais","Negativo / Não Detectável",414
"Minas Gerais","Positivo / Detectável",91
"Minas Gerais","Inconclusivo / Indeterminado",4
Tocantins,"Negativo / Não Detectável",348
Tocantins,"Positivo / Detectável",160
"Mato Grosso do Sul","Negativo / Não Detectável",403
"Mato Grosso do Sul","Positivo / Detectável",75
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Rondônia","Positivo / Detectável",196
"Rondônia","Negativo / Não Detectável",175
"Rondônia","Inconclusivo / Indeterminado",6
"Amapá","Positivo / Detectável",232
"Amapá","Negativo / Não Detectável",138
"Amapá","Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável",294
"Rio Grande do Sul","Positivo / Detectável",75
"Rio Grande do Norte","Positivo / Detectável",227
"Rio Grande do Norte","Negativo / Não Detectável",137
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",260
Amazonas,"Positivo / Detectável",79
Amazonas,"Inconclusivo / Indeterminado",3
"Mato Grosso","Negativo / Não Detectável",255
"Mato Grosso","Positivo / Detectável",86
"Piauí","Negativo / Não Detectável",180
"Piauí","Positivo / Detectável",129
"Piauí","Inconclusivo / Indeterminado",1
"Maranhão","Negativo / Não Detectável",173
"Maranhão","Positivo / Detectável",129
"Pará","Positivo / Detectável",154
"Pará","Negativo / Não Detectável",145
"Paraíba","Negativo / Não Detectável",125
"Paraíba","Positivo / Detectável",104
Acre,"Positivo / Detectável",90
Acre,"Negativo / Não Detectável",64
Alagoas,"Positivo / Detectável",127
Alagoas,"Negativo / Não Detectável",25
"Goiás","Negativo / Não Detectável",111
"Goiás","Positivo / Detectável",32
Roraima,"Positivo / Detectável",120
Roraima,"Negativo / Não Detectável",14
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",2
