"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","4.916"
"Paraná","Positivo / Detectável","2.038"
"Paraná","Inconclusivo / Indeterminado",42
"São Paulo","Negativo / Não Detectável","3.811"
"São Paulo","Positivo / Detectável","2.803"
"São Paulo","Inconclusivo / Indeterminado",43
Bahia,"Negativo / Não Detectável","1.763"
Bahia,"Positivo / Detectável",940
Bahia,"Inconclusivo / Indeterminado",19
"Minas Gerais","Negativo / Não Detectável","1.185"
"Minas Gerais","Positivo / Detectável",512
"Minas Gerais","Inconclusivo / Indeterminado",36
"Rio Grande do Sul","Negativo / Não Detectável",980
"Rio Grande do Sul","Positivo / Detectável",532
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
Pernambuco,"Negativo / Não Detectável",771
Pernambuco,"Positivo / Detectável",411
Pernambuco,"Inconclusivo / Indeterminado",17
"Espírito Santo","Negativo / Não Detectável",607
"Espírito Santo","Positivo / Detectável",553
"Espírito Santo","Inconclusivo / Indeterminado",20
"Rio de Janeiro","Negativo / Não Detectável",797
"Rio de Janeiro","Positivo / Detectável",360
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Mato Grosso do Sul","Negativo / Não Detectável",848
"Mato Grosso do Sul","Positivo / Detectável",269
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",644
"Santa Catarina","Positivo / Detectável",458
"Santa Catarina","Inconclusivo / Indeterminado",3
Sergipe,"Positivo / Detectável",827
Sergipe,"Negativo / Não Detectável",260
"Ceará","Negativo / Não Detectável",431
"Ceará","Positivo / Detectável",263
"Ceará","Inconclusivo / Indeterminado",3
"Mato Grosso","Negativo / Não Detectável",357
"Mato Grosso","Positivo / Detectável",315
"Mato Grosso","Inconclusivo / Indeterminado",15
"Rio Grande do Norte","Negativo / Não Detectável",310
"Rio Grande do Norte","Positivo / Detectável",253
Tocantins,"Positivo / Detectável",270
Tocantins,"Negativo / Não Detectável",254
"Rondônia","Negativo / Não Detectável",245
"Rondônia","Positivo / Detectável",204
"Rondônia","Inconclusivo / Indeterminado",8
"Goiás","Positivo / Detectável",192
"Goiás","Negativo / Não Detectável",136
"Piauí","Negativo / Não Detectável",168
"Piauí","Positivo / Detectável",151
"Piauí","Inconclusivo / Indeterminado",1
Acre,"Positivo / Detectável",155
Acre,"Negativo / Não Detectável",151
"Maranhão","Negativo / Não Detectável",220
"Maranhão","Positivo / Detectável",49
Amazonas,"Negativo / Não Detectável",159
Amazonas,"Positivo / Detectável",95
Amazonas,"Inconclusivo / Indeterminado",5
"Paraíba","Negativo / Não Detectável",157
"Paraíba","Positivo / Detectável",97
Roraima,"Negativo / Não Detectável",167
Roraima,"Positivo / Detectável",85
"Pará","Negativo / Não Detectável",191
"Pará","Positivo / Detectável",60
"Amapá","Negativo / Não Detectável",85
"Amapá","Positivo / Detectável",48
Alagoas,"Negativo / Não Detectável",75
Alagoas,"Positivo / Detectável",40
"Distrito Federal","Negativo / Não Detectável",9
"Distrito Federal","Positivo / Detectável",6
