"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",719
"São Paulo","Positivo / Detectável",70
"Minas Gerais","Negativo / Não Detectável",222
"Minas Gerais","Positivo / Detectável",26
"Paraná","Negativo / Não Detectável",142
"Paraná","Positivo / Detectável",43
Bahia,"Negativo / Não Detectável",134
Bahia,"Positivo / Detectável",21
"Rio de Janeiro","Negativo / Não Detectável",94
"Rio de Janeiro","Positivo / Detectável",2
"Rio de Janeiro","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",72
Pernambuco,"Positivo / Detectável",11
"Espírito Santo","Negativo / Não Detectável",70
"Espírito Santo","Positivo / Detectável",11
"Espírito Santo","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",68
"Santa Catarina","Positivo / Detectável",10
"Santa Catarina","Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",62
"Mato Grosso do Sul","Positivo / Detectável",3
"Goiás","Negativo / Não Detectável",40
"Goiás","Positivo / Detectável",8
"Ceará","Negativo / Não Detectável",31
"Ceará","Positivo / Detectável",12
"Ceará","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",34
Amazonas,"Positivo / Detectável",2
"Rio Grande do Sul","Negativo / Não Detectável",32
"Rio Grande do Sul","Positivo / Detectável",3
"Piauí","Negativo / Não Detectável",26
"Piauí","Positivo / Detectável",7
"Pará","Negativo / Não Detectável",20
"Pará","Positivo / Detectável",7
"Paraíba","Negativo / Não Detectável",20
"Paraíba","Positivo / Detectável",2
"Rio Grande do Norte","Negativo / Não Detectável",16
"Rio Grande do Norte","Positivo / Detectável",6
"Maranhão","Negativo / Não Detectável",14
"Maranhão","Positivo / Detectável",7
"Amapá","Negativo / Não Detectável",12
"Amapá","Positivo / Detectável",4
Sergipe,"Negativo / Não Detectável",15
Sergipe,"Positivo / Detectável",1
Tocantins,"Negativo / Não Detectável",14
Tocantins,"Positivo / Detectável",1
Roraima,"Negativo / Não Detectável",14
"Rondônia","Negativo / Não Detectável",13
"Mato Grosso","Negativo / Não Detectável",11
Alagoas,"Negativo / Não Detectável",5
Acre,"Negativo / Não Detectável",2
Acre,"Positivo / Detectável",1
