"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",25
"São Paulo","Positivo / Detectável",10
"Paraná","Negativo / Não Detectável",33
"Paraná","Positivo / Detectável",1
Bahia,"Negativo / Não Detectável",19
Bahia,"Positivo / Detectável",6
"Minas Gerais","Negativo / Não Detectável",17
Amazonas,"Negativo / Não Detectável",11
Amazonas,"Positivo / Detectável",1
"Ceará","Negativo / Não Detectável",9
"Ceará","Positivo / Detectável",1
"Santa Catarina","Negativo / Não Detectável",4
"Santa Catarina","Positivo / Detectável",4
"Goiás","Negativo / Não Detectável",5
"Goiás","Positivo / Detectável",1
"Mato Grosso do Sul","Negativo / Não Detectável",5
"Mato Grosso do Sul","Positivo / Detectável",1
"Rio de Janeiro","Negativo / Não Detectável",6
Pernambuco,"Positivo / Detectável",3
Pernambuco,"Negativo / Não Detectável",2
Acre,"Negativo / Não Detectável",3
Acre,"Positivo / Detectável",1
"Maranhão","Negativo / Não Detectável",2
"Maranhão","Positivo / Detectável",2
Tocantins,"Positivo / Detectável",2
Tocantins,"Negativo / Não Detectável",1
"Espírito Santo","Negativo / Não Detectável",2
"Pará","Negativo / Não Detectável",1
"Pará","Positivo / Detectável",1
"Rio Grande do Sul","Negativo / Não Detectável",1
"Rio Grande do Sul","Positivo / Detectável",1
Sergipe,"Positivo / Detectável",2
"Piauí","Negativo / Não Detectável",1
