"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.233"
"São Paulo","Positivo / Detectável",674
"São Paulo","Inconclusivo / Indeterminado",21
"Paraná","Negativo / Não Detectável","1.206"
"Paraná","Positivo / Detectável",361
"Rio Grande do Sul","Negativo / Não Detectável",391
"Rio Grande do Sul","Positivo / Detectável",189
"Rio Grande do Sul","Inconclusivo / Indeterminado",6
"Espírito Santo","Negativo / Não Detectável",317
"Espírito Santo","Positivo / Detectável",232
"Espírito Santo","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",274
Bahia,"Positivo / Detectável",238
Bahia,"Inconclusivo / Indeterminado",12
Pernambuco,"Negativo / Não Detectável",413
Pernambuco,"Positivo / Detectável",70
Pernambuco,"Inconclusivo / Indeterminado",3
"Minas Gerais","Negativo / Não Detectável",337
"Minas Gerais","Positivo / Detectável",90
"Minas Gerais","Inconclusivo / Indeterminado",7
"Ceará","Negativo / Não Detectável",276
"Ceará","Positivo / Detectável",105
"Rio de Janeiro","Negativo / Não Detectável",222
"Rio de Janeiro","Positivo / Detectável",119
"Rio de Janeiro","Inconclusivo / Indeterminado",6
"Mato Grosso do Sul","Negativo / Não Detectável",271
"Mato Grosso do Sul","Positivo / Detectável",65
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Piauí","Negativo / Não Detectável",223
"Piauí","Positivo / Detectável",88
"Santa Catarina","Negativo / Não Detectável",233
"Santa Catarina","Positivo / Detectável",45
"Rio Grande do Norte","Negativo / Não Detectável",124
"Rio Grande do Norte","Positivo / Detectável",46
Sergipe,"Negativo / Não Detectável",84
Sergipe,"Positivo / Detectável",75
"Paraíba","Negativo / Não Detectável",48
"Paraíba","Positivo / Detectável",32
"Pará","Negativo / Não Detectável",57
"Pará","Positivo / Detectável",21
"Pará","Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",49
"Goiás","Positivo / Detectável",27
"Rondônia","Negativo / Não Detectável",57
"Rondônia","Positivo / Detectável",15
Amazonas,"Positivo / Detectável",34
Amazonas,"Negativo / Não Detectável",32
Tocantins,"Negativo / Não Detectável",31
Tocantins,"Positivo / Detectável",24
Acre,"Negativo / Não Detectável",36
Acre,"Positivo / Detectável",4
"Maranhão","Negativo / Não Detectável",32
"Maranhão","Positivo / Detectável",5
Alagoas,"Negativo / Não Detectável",24
Alagoas,"Positivo / Detectável",3
"Mato Grosso","Negativo / Não Detectável",9
"Mato Grosso","Positivo / Detectável",2
"Mato Grosso","Inconclusivo / Indeterminado",1
"Distrito Federal","Positivo / Detectável",5
"Distrito Federal","Negativo / Não Detectável",1
Roraima,"Positivo / Detectável",4
"Amapá","Negativo / Não Detectável",1
