"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.660"
"Paraná","Positivo / Detectável","1.481"
"Paraná","Inconclusivo / Indeterminado",2
"São Paulo","Negativo / Não Detectável","4.400"
"São Paulo","Positivo / Detectável","2.287"
"São Paulo","Inconclusivo / Indeterminado",29
Bahia,"Negativo / Não Detectável","1.563"
Bahia,"Positivo / Detectável",913
Bahia,"Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável","1.393"
"Rio de Janeiro","Positivo / Detectável",485
"Rio de Janeiro","Inconclusivo / Indeterminado",6
"Rio Grande do Sul","Negativo / Não Detectável","1.465"
"Rio Grande do Sul","Positivo / Detectável",420
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Ceará","Negativo / Não Detectável","1.332"
"Ceará","Positivo / Detectável",390
"Ceará","Inconclusivo / Indeterminado",2
Pernambuco,"Negativo / Não Detectável","1.460"
Pernambuco,"Positivo / Detectável",257
Pernambuco,"Inconclusivo / Indeterminado",6
"Minas Gerais","Negativo / Não Detectável","1.138"
"Minas Gerais","Positivo / Detectável",409
"Minas Gerais","Inconclusivo / Indeterminado",16
"Santa Catarina","Negativo / Não Detectável","1.255"
"Santa Catarina","Positivo / Detectável",283
"Santa Catarina","Inconclusivo / Indeterminado",3
"Mato Grosso do Sul","Negativo / Não Detectável","1.096"
"Mato Grosso do Sul","Positivo / Detectável",363
"Mato Grosso do Sul","Inconclusivo / Indeterminado",1
"Espírito Santo","Negativo / Não Detectável",719
"Espírito Santo","Positivo / Detectável",304
"Espírito Santo","Inconclusivo / Indeterminado",1
"Rondônia","Negativo / Não Detectável",534
"Rondônia","Positivo / Detectável",226
"Rondônia","Inconclusivo / Indeterminado",10
"Piauí","Negativo / Não Detectável",544
"Piauí","Positivo / Detectável",189
"Rio Grande do Norte","Negativo / Não Detectável",582
"Rio Grande do Norte","Positivo / Detectável",147
"Rio Grande do Norte","Inconclusivo / Indeterminado",1
Sergipe,"Negativo / Não Detectável",615
Sergipe,"Positivo / Detectável",101
"Goiás","Negativo / Não Detectável",364
"Goiás","Positivo / Detectável",185
Tocantins,"Positivo / Detectável",231
Tocantins,"Negativo / Não Detectável",227
"Pará","Negativo / Não Detectável",235
"Pará","Positivo / Detectável",47
"Maranhão","Negativo / Não Detectável",206
"Maranhão","Positivo / Detectável",30
Amazonas,"Negativo / Não Detectável",175
Amazonas,"Positivo / Detectável",58
Amazonas,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",168
"Paraíba","Positivo / Detectável",58
"Mato Grosso","Negativo / Não Detectável",91
"Mato Grosso","Positivo / Detectável",65
Acre,"Negativo / Não Detectável",112
Acre,"Positivo / Detectável",17
Alagoas,"Negativo / Não Detectável",108
Alagoas,"Positivo / Detectável",10
Roraima,"Negativo / Não Detectável",46
Roraima,"Positivo / Detectável",31
"Distrito Federal","Negativo / Não Detectável",23
"Distrito Federal","Positivo / Detectável",9
"Amapá","Negativo / Não Detectável",1
