"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","2.302"
"Paraná","Positivo / Detectável",609
"Paraná","Inconclusivo / Indeterminado",4
"São Paulo","Negativo / Não Detectável",802
"São Paulo","Positivo / Detectável",647
"São Paulo","Inconclusivo / Indeterminado",7
Bahia,"Negativo / Não Detectável",695
Bahia,"Positivo / Detectável",416
Bahia,"Inconclusivo / Indeterminado",5
"Espírito Santo","Positivo / Detectável",263
"Espírito Santo","Negativo / Não Detectável",221
"Espírito Santo","Inconclusivo / Indeterminado",18
"Minas Gerais","Negativo / Não Detectável",310
"Minas Gerais","Positivo / Detectável",181
"Minas Gerais","Inconclusivo / Indeterminado",9
"Rio Grande do Sul","Negativo / Não Detectável",310
"Rio Grande do Sul","Positivo / Detectável",189
"Mato Grosso do Sul","Negativo / Não Detectável",340
"Mato Grosso do Sul","Positivo / Detectável",138
"Ceará","Negativo / Não Detectável",368
"Ceará","Positivo / Detectável",88
"Ceará","Inconclusivo / Indeterminado",1
Sergipe,"Positivo / Detectável",394
Sergipe,"Negativo / Não Detectável",59
"Rio de Janeiro","Negativo / Não Detectável",242
"Rio de Janeiro","Positivo / Detectável",144
"Rio de Janeiro","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",185
Pernambuco,"Positivo / Detectável",107
Pernambuco,"Inconclusivo / Indeterminado",6
"Santa Catarina","Negativo / Não Detectável",156
"Santa Catarina","Positivo / Detectável",127
"Santa Catarina","Inconclusivo / Indeterminado",2
"Rio Grande do Norte","Positivo / Detectável",105
"Rio Grande do Norte","Negativo / Não Detectável",95
"Pará","Negativo / Não Detectável",145
"Pará","Positivo / Detectável",40
"Pará","Inconclusivo / Indeterminado",1
"Goiás","Positivo / Detectável",91
"Goiás","Negativo / Não Detectável",80
Tocantins,"Negativo / Não Detectável",73
Tocantins,"Positivo / Detectável",68
Alagoas,"Negativo / Não Detectável",62
Alagoas,"Positivo / Detectável",54
Acre,"Positivo / Detectável",63
Acre,"Negativo / Não Detectável",49
Acre,"Inconclusivo / Indeterminado",1
"Rondônia","Positivo / Detectável",62
"Rondônia","Negativo / Não Detectável",39
"Rondônia","Inconclusivo / Indeterminado",1
"Piauí","Positivo / Detectável",49
"Piauí","Negativo / Não Detectável",30
Roraima,"Positivo / Detectável",46
Roraima,"Negativo / Não Detectável",23
"Paraíba","Negativo / Não Detectável",44
"Paraíba","Positivo / Detectável",23
"Amapá","Negativo / Não Detectável",44
"Amapá","Positivo / Detectável",17
"Maranhão","Negativo / Não Detectável",40
"Maranhão","Positivo / Detectável",16
"Mato Grosso","Positivo / Detectável",9
"Mato Grosso","Negativo / Não Detectável",7
"Mato Grosso","Inconclusivo / Indeterminado",1
Amazonas,"Negativo / Não Detectável",4
Amazonas,"Positivo / Detectável",2
"Distrito Federal","Negativo / Não Detectável",1
"Distrito Federal","Positivo / Detectável",1
