"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.336"
"São Paulo","Positivo / Detectável",489
"São Paulo","Inconclusivo / Indeterminado",15
Bahia,"Negativo / Não Detectável","1.133"
Bahia,"Positivo / Detectável",494
Bahia,"Inconclusivo / Indeterminado",10
"Rio de Janeiro","Negativo / Não Detectável",652
"Rio de Janeiro","Positivo / Detectável",553
"Rio de Janeiro","Inconclusivo / Indeterminado",31
"Paraná","Negativo / Não Detectável",944
"Paraná","Positivo / Detectável",162
"Paraná","Inconclusivo / Indeterminado",3
Pernambuco,"Positivo / Detectável",497
Pernambuco,"Negativo / Não Detectável",445
Pernambuco,"Inconclusivo / Indeterminado",28
"Espírito Santo","Positivo / Detectável",549
"Espírito Santo","Negativo / Não Detectável",348
"Espírito Santo","Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",512
"Ceará","Negativo / Não Detectável",372
"Ceará","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",572
"Santa Catarina","Positivo / Detectável",158
Sergipe,"Positivo / Detectável",356
Sergipe,"Negativo / Não Detectável",340
"Mato Grosso do Sul","Negativo / Não Detectável",543
"Mato Grosso do Sul","Positivo / Detectável",85
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Amazonas,"Negativo / Não Detectável",414
Amazonas,"Positivo / Detectável",205
Amazonas,"Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável",384
"Rio Grande do Sul","Positivo / Detectável",63
"Amapá","Positivo / Detectável",324
"Amapá","Negativo / Não Detectável",114
"Amapá","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",353
"Minas Gerais","Positivo / Detectável",73
"Minas Gerais","Inconclusivo / Indeterminado",5
Tocantins,"Negativo / Não Detectável",269
Tocantins,"Positivo / Detectável",132
"Pará","Positivo / Detectável",178
"Pará","Negativo / Não Detectável",128
"Maranhão","Positivo / Detectável",175
"Maranhão","Negativo / Não Detectável",127
"Mato Grosso","Negativo / Não Detectável",219
"Mato Grosso","Positivo / Detectável",78
"Mato Grosso","Inconclusivo / Indeterminado",3
"Paraíba","Positivo / Detectável",149
"Paraíba","Negativo / Não Detectável",140
"Rondônia","Negativo / Não Detectável",150
"Rondônia","Positivo / Detectável",109
"Rondônia","Inconclusivo / Indeterminado",21
Acre,"Positivo / Detectável",178
Acre,"Negativo / Não Detectável",86
Acre,"Inconclusivo / Indeterminado",2
Alagoas,"Positivo / Detectável",205
Alagoas,"Negativo / Não Detectável",60
"Rio Grande do Norte","Positivo / Detectável",139
"Rio Grande do Norte","Negativo / Não Detectável",122
"Rio Grande do Norte","Inconclusivo / Indeterminado",3
"Piauí","Negativo / Não Detectável",154
"Piauí","Positivo / Detectável",83
"Goiás","Negativo / Não Detectável",154
"Goiás","Positivo / Detectável",31
Roraima,"Positivo / Detectável",135
Roraima,"Negativo / Não Detectável",31
"Distrito Federal","Positivo / Detectável",3
"Distrito Federal","Negativo / Não Detectável",1
