"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",15
"São Paulo","Positivo / Detectável",7
"Paraná","Negativo / Não Detectável",12
"Paraná","Positivo / Detectável",3
"Rio Grande do Sul","Negativo / Não Detectável",4
"Ceará","Negativo / Não Detectável",2
"Ceará","Positivo / Detectável",1
Amazonas,"Negativo / Não Detectável",2
Bahia,"Negativo / Não Detectável",1
Bahia,"Positivo / Detectável",1
"Santa Catarina","Negativo / Não Detectável",2
"Mato Grosso","Negativo / Não Detectável",1
"Minas Gerais","Positivo / Detectável",1
"Pará","Negativo / Não Detectável",1
"Rio de Janeiro","Negativo / Não Detectável",1
