"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","6.310"
"Paraná","Positivo / Detectável","2.290"
"São Paulo","Negativo / Não Detectável","5.383"
"São Paulo","Positivo / Detectável","2.844"
"São Paulo","Inconclusivo / Indeterminado",38
Bahia,"Negativo / Não Detectável","2.612"
Bahia,"Positivo / Detectável","1.003"
Bahia,"Inconclusivo / Indeterminado",10
"Rio Grande do Sul","Negativo / Não Detectável","2.037"
"Rio Grande do Sul","Positivo / Detectável",669
"Rio Grande do Sul","Inconclusivo / Indeterminado",4
Pernambuco,"Negativo / Não Detectável","2.008"
Pernambuco,"Positivo / Detectável",327
Pernambuco,"Inconclusivo / Indeterminado",5
"Ceará","Negativo / Não Detectável","1.764"
"Ceará","Positivo / Detectável",363
"Ceará","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável","1.600"
"Santa Catarina","Positivo / Detectável",425
"Santa Catarina","Inconclusivo / Indeterminado",2
"Rio de Janeiro","Negativo / Não Detectável","1.426"
"Rio de Janeiro","Positivo / Detectável",452
"Rio de Janeiro","Inconclusivo / Indeterminado",9
"Goiás","Negativo / Não Detectável","1.335"
"Goiás","Positivo / Detectável",545
"Minas Gerais","Negativo / Não Detectável","1.191"
"Minas Gerais","Positivo / Detectável",495
"Minas Gerais","Inconclusivo / Indeterminado",52
"Mato Grosso do Sul","Negativo / Não Detectável",839
"Mato Grosso do Sul","Positivo / Detectável",460
"Mato Grosso do Sul","Inconclusivo / Indeterminado",5
Sergipe,"Negativo / Não Detectável","1.073"
Sergipe,"Positivo / Detectável",153
Tocantins,"Positivo / Detectável",595
Tocantins,"Negativo / Não Detectável",553
"Espírito Santo","Negativo / Não Detectável",673
"Espírito Santo","Positivo / Detectável",312
"Espírito Santo","Inconclusivo / Indeterminado",20
"Rio Grande do Norte","Negativo / Não Detectável",791
"Rio Grande do Norte","Positivo / Detectável",208
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",536
"Rondônia","Positivo / Detectável",295
"Rondônia","Inconclusivo / Indeterminado",4
"Piauí","Negativo / Não Detectável",425
"Piauí","Positivo / Detectável",243
"Pará","Negativo / Não Detectável",307
"Pará","Positivo / Detectável",59
"Paraíba","Negativo / Não Detectável",210
"Paraíba","Positivo / Detectável",45
"Maranhão","Negativo / Não Detectável",193
"Maranhão","Positivo / Detectável",32
Amazonas,"Negativo / Não Detectável",115
Amazonas,"Positivo / Detectável",77
"Mato Grosso","Negativo / Não Detectável",152
"Mato Grosso","Positivo / Detectável",33
Alagoas,"Negativo / Não Detectável",157
Alagoas,"Positivo / Detectável",15
Acre,"Negativo / Não Detectável",114
Acre,"Positivo / Detectável",47
Roraima,"Negativo / Não Detectável",69
Roraima,"Positivo / Detectável",22
"Amapá","Negativo / Não Detectável",58
"Amapá","Positivo / Detectável",13
"Distrito Federal","Negativo / Não Detectável",25
"Distrito Federal","Positivo / Detectável",8
