"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.215"
"São Paulo","Positivo / Detectável",499
"São Paulo","Inconclusivo / Indeterminado",25
Bahia,"Negativo / Não Detectável",991
Bahia,"Positivo / Detectável",527
Bahia,"Inconclusivo / Indeterminado",14
"Paraná","Negativo / Não Detectável","1.038"
"Paraná","Positivo / Detectável",199
"Paraná","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável",628
"Rio de Janeiro","Positivo / Detectável",427
"Rio de Janeiro","Inconclusivo / Indeterminado",10
Pernambuco,"Negativo / Não Detectável",517
Pernambuco,"Positivo / Detectável",434
Pernambuco,"Inconclusivo / Indeterminado",28
"Espírito Santo","Positivo / Detectável",516
"Espírito Santo","Negativo / Não Detectável",354
"Espírito Santo","Inconclusivo / Indeterminado",11
"Ceará","Positivo / Detectável",411
"Ceará","Negativo / Não Detectável",314
"Ceará","Inconclusivo / Indeterminado",3
"Santa Catarina","Negativo / Não Detectável",532
"Santa Catarina","Positivo / Detectável",154
"Mato Grosso do Sul","Negativo / Não Detectável",522
"Mato Grosso do Sul","Positivo / Detectável",84
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Amazonas,"Negativo / Não Detectável",441
Amazonas,"Positivo / Detectável",154
Amazonas,"Inconclusivo / Indeterminado",12
"Rondônia","Negativo / Não Detectável",263
"Rondônia","Positivo / Detectável",211
"Rondônia","Inconclusivo / Indeterminado",26
Tocantins,"Negativo / Não Detectável",367
Tocantins,"Positivo / Detectável",132
"Mato Grosso","Negativo / Não Detectável",397
"Mato Grosso","Positivo / Detectável",58
Sergipe,"Positivo / Detectável",291
Sergipe,"Negativo / Não Detectável",129
"Amapá","Positivo / Detectável",275
"Amapá","Negativo / Não Detectável",132
"Amapá","Inconclusivo / Indeterminado",8
"Minas Gerais","Negativo / Não Detectável",321
"Minas Gerais","Positivo / Detectável",64
"Minas Gerais","Inconclusivo / Indeterminado",4
"Rio Grande do Sul","Negativo / Não Detectável",316
"Rio Grande do Sul","Positivo / Detectável",65
"Rio Grande do Norte","Positivo / Detectável",178
"Rio Grande do Norte","Negativo / Não Detectável",135
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
"Paraíba","Positivo / Detectável",181
"Paraíba","Negativo / Não Detectável",113
Acre,"Positivo / Detectável",197
Acre,"Negativo / Não Detectável",92
"Pará","Positivo / Detectável",151
"Pará","Negativo / Não Detectável",138
"Maranhão","Positivo / Detectável",135
"Maranhão","Negativo / Não Detectável",106
Roraima,"Positivo / Detectável",145
Roraima,"Negativo / Não Detectável",62
Alagoas,"Positivo / Detectável",145
Alagoas,"Negativo / Não Detectável",59
"Goiás","Negativo / Não Detectável",159
"Goiás","Positivo / Detectável",39
"Piauí","Negativo / Não Detectável",109
"Piauí","Positivo / Detectável",65
"Distrito Federal","Negativo / Não Detectável",7
