"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","3.911"
"São Paulo","Positivo / Detectável","1.488"
"São Paulo","Inconclusivo / Indeterminado",25
"Paraná","Negativo / Não Detectável","3.954"
"Paraná","Positivo / Detectável",921
Bahia,"Negativo / Não Detectável","1.806"
Bahia,"Positivo / Detectável",980
Bahia,"Inconclusivo / Indeterminado",67
"Rio Grande do Sul","Negativo / Não Detectável","2.140"
"Rio Grande do Sul","Positivo / Detectável",512
"Rio Grande do Sul","Inconclusivo / Indeterminado",19
"Ceará","Negativo / Não Detectável","2.086"
"Ceará","Positivo / Detectável",412
"Ceará","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável","1.782"
Pernambuco,"Positivo / Detectável",261
Pernambuco,"Inconclusivo / Indeterminado",4
"Rio de Janeiro","Negativo / Não Detectável","1.279"
"Rio de Janeiro","Positivo / Detectável",356
"Rio de Janeiro","Inconclusivo / Indeterminado",34
"Santa Catarina","Negativo / Não Detectável","1.280"
"Santa Catarina","Positivo / Detectável",408
"Santa Catarina","Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável","1.092"
"Minas Gerais","Positivo / Detectável",340
"Minas Gerais","Inconclusivo / Indeterminado",42
"Mato Grosso do Sul","Negativo / Não Detectável",779
"Mato Grosso do Sul","Positivo / Detectável",208
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
Sergipe,"Positivo / Detectável",359
Sergipe,"Negativo / Não Detectável",351
Sergipe,"Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",474
"Rio Grande do Norte","Positivo / Detectável",142
"Goiás","Negativo / Não Detectável",456
"Goiás","Positivo / Detectável",135
"Pará","Negativo / Não Detectável",249
"Pará","Positivo / Detectável",112
"Pará","Inconclusivo / Indeterminado",1
"Rondônia","Negativo / Não Detectável",284
"Rondônia","Positivo / Detectável",67
"Rondônia","Inconclusivo / Indeterminado",2
Tocantins,"Negativo / Não Detectável",199
Tocantins,"Positivo / Detectável",101
Amazonas,"Negativo / Não Detectável",212
Amazonas,"Positivo / Detectável",70
Amazonas,"Inconclusivo / Indeterminado",1
"Paraíba","Negativo / Não Detectável",232
"Paraíba","Positivo / Detectável",43
"Mato Grosso","Negativo / Não Detectável",181
"Mato Grosso","Positivo / Detectável",59
"Maranhão","Negativo / Não Detectável",123
"Maranhão","Positivo / Detectável",8
"Maranhão","Inconclusivo / Indeterminado",1
Acre,"Negativo / Não Detectável",107
Acre,"Positivo / Detectável",13
Roraima,"Positivo / Detectável",46
Roraima,"Negativo / Não Detectável",41
Alagoas,"Negativo / Não Detectável",77
Alagoas,"Positivo / Detectável",9
"Espírito Santo","Negativo / Não Detectável",32
"Espírito Santo","Positivo / Detectável",13
"Distrito Federal","Negativo / Não Detectável",20
"Distrito Federal","Positivo / Detectável",6
"Distrito Federal","Inconclusivo / Indeterminado",1
"Amapá","Negativo / Não Detectável",5
"Piauí","Negativo / Não Detectável",5
