"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",197
"São Paulo","Positivo / Detectável",40
"São Paulo","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",132
"Minas Gerais","Positivo / Detectável",14
"Rio de Janeiro","Negativo / Não Detectável",112
"Rio de Janeiro","Positivo / Detectável",12
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Paraná","Negativo / Não Detectável",100
"Paraná","Positivo / Detectável",24
Bahia,"Negativo / Não Detectável",54
Bahia,"Positivo / Detectável",14
"Rio Grande do Sul","Negativo / Não Detectável",65
"Mato Grosso do Sul","Negativo / Não Detectável",32
"Mato Grosso do Sul","Positivo / Detectável",9
"Santa Catarina","Negativo / Não Detectável",29
"Santa Catarina","Positivo / Detectável",8
"Santa Catarina","Inconclusivo / Indeterminado",1
"Piauí","Negativo / Não Detectável",28
"Piauí","Positivo / Detectável",6
"Piauí","Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",29
"Espírito Santo","Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",20
Amazonas,"Positivo / Detectável",9
Pernambuco,"Negativo / Não Detectável",18
Pernambuco,"Positivo / Detectável",4
"Goiás","Negativo / Não Detectável",12
"Goiás","Positivo / Detectável",4
"Pará","Negativo / Não Detectável",7
"Pará","Positivo / Detectável",6
Alagoas,"Negativo / Não Detectável",12
"Rio Grande do Norte","Negativo / Não Detectável",10
"Rio Grande do Norte","Positivo / Detectável",1
Sergipe,"Negativo / Não Detectável",7
Sergipe,"Positivo / Detectável",3
"Maranhão","Negativo / Não Detectável",5
"Maranhão","Positivo / Detectável",3
"Paraíba","Negativo / Não Detectável",5
"Paraíba","Positivo / Detectável",3
Acre,"Negativo / Não Detectável",5
Acre,"Positivo / Detectável",1
"Ceará","Positivo / Detectável",5
"Ceará","Negativo / Não Detectável",1
"Mato Grosso","Negativo / Não Detectável",3
"Distrito Federal","Negativo / Não Detectável",2
Tocantins,"Negativo / Não Detectável",1
Tocantins,"Positivo / Detectável",1
"Rondônia","Negativo / Não Detectável",1
Roraima,"Negativo / Não Detectável",1
