"UF de residência",Resultados,"Nº de exames realizados"
Bahia,"Negativo / Não Detectável","1.391"
Bahia,"Positivo / Detectável",382
Bahia,"Inconclusivo / Indeterminado",24
"São Paulo","Negativo / Não Detectável","1.155"
"São Paulo","Positivo / Detectável",414
"São Paulo","Inconclusivo / Indeterminado",11
"Rio de Janeiro","Positivo / Detectável",581
"Rio de Janeiro","Negativo / Não Detectável",574
"Rio de Janeiro","Inconclusivo / Indeterminado",19
Pernambuco,"Positivo / Detectável",631
Pernambuco,"Negativo / Não Detectável",361
Pernambuco,"Inconclusivo / Indeterminado",12
"Ceará","Positivo / Detectável",633
"Ceará","Negativo / Não Detectável",330
"Espírito Santo","Positivo / Detectável",389
"Espírito Santo","Negativo / Não Detectável",370
"Espírito Santo","Inconclusivo / Indeterminado",12
"Paraná","Negativo / Não Detectável",634
"Paraná","Positivo / Detectável",81
"Santa Catarina","Negativo / Não Detectável",471
"Santa Catarina","Positivo / Detectável",107
Sergipe,"Negativo / Não Detectável",339
Sergipe,"Positivo / Detectável",228
"Amapá","Positivo / Detectável",402
"Amapá","Negativo / Não Detectável",105
"Amapá","Inconclusivo / Indeterminado",1
Amazonas,"Positivo / Detectável",281
Amazonas,"Negativo / Não Detectável",208
Amazonas,"Inconclusivo / Indeterminado",6
"Paraíba","Negativo / Não Detectável",233
"Paraíba","Positivo / Detectável",184
"Pará","Positivo / Detectável",266
"Pará","Negativo / Não Detectável",121
"Pará","Inconclusivo / Indeterminado",1
"Minas Gerais","Negativo / Não Detectável",324
"Minas Gerais","Positivo / Detectável",51
"Minas Gerais","Inconclusivo / Indeterminado",5
"Mato Grosso do Sul","Negativo / Não Detectável",333
"Mato Grosso do Sul","Positivo / Detectável",38
"Mato Grosso do Sul","Inconclusivo / Indeterminado",2
"Maranhão","Positivo / Detectável",205
"Maranhão","Negativo / Não Detectável",126
"Rondônia","Negativo / Não Detectável",221
"Rondônia","Positivo / Detectável",84
"Rondônia","Inconclusivo / Indeterminado",18
"Rio Grande do Sul","Negativo / Não Detectável",235
"Rio Grande do Sul","Positivo / Detectável",53
"Rio Grande do Sul","Inconclusivo / Indeterminado",2
Alagoas,"Positivo / Detectável",240
Alagoas,"Negativo / Não Detectável",36
"Rio Grande do Norte","Negativo / Não Detectável",130
"Rio Grande do Norte","Positivo / Detectável",129
Acre,"Positivo / Detectável",152
Acre,"Negativo / Não Detectável",92
Tocantins,"Negativo / Não Detectável",191
Tocantins,"Positivo / Detectável",51
"Piauí","Negativo / Não Detectável",128
"Piauí","Positivo / Detectável",76
"Mato Grosso","Negativo / Não Detectável",150
"Mato Grosso","Positivo / Detectável",30
"Goiás","Negativo / Não Detectável",133
"Goiás","Positivo / Detectável",15
Roraima,"Positivo / Detectável",121
Roraima,"Negativo / Não Detectável",18
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",3
