"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.681"
"São Paulo","Positivo / Detectável",809
"São Paulo","Inconclusivo / Indeterminado",25
"Paraná","Negativo / Não Detectável","1.649"
"Paraná","Positivo / Detectável",514
"Paraná","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável","1.445"
Bahia,"Positivo / Detectável",505
Bahia,"Inconclusivo / Indeterminado",31
"Espírito Santo","Positivo / Detectável",551
"Espírito Santo","Negativo / Não Detectável",348
"Espírito Santo","Inconclusivo / Indeterminado",53
"Rio de Janeiro","Negativo / Não Detectável",651
"Rio de Janeiro","Positivo / Detectável",244
"Rio de Janeiro","Inconclusivo / Indeterminado",1
"Santa Catarina","Negativo / Não Detectável",599
"Santa Catarina","Positivo / Detectável",197
"Santa Catarina","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",398
Pernambuco,"Positivo / Detectável",288
Pernambuco,"Inconclusivo / Indeterminado",30
"Mato Grosso do Sul","Negativo / Não Detectável",563
"Mato Grosso do Sul","Positivo / Detectável",100
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Mato Grosso","Negativo / Não Detectável",459
"Mato Grosso","Positivo / Detectável",178
"Mato Grosso","Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",432
"Minas Gerais","Positivo / Detectável",147
"Minas Gerais","Inconclusivo / Indeterminado",8
"Rondônia","Negativo / Não Detectável",333
"Rondônia","Positivo / Detectável",219
"Rondônia","Inconclusivo / Indeterminado",12
Tocantins,"Negativo / Não Detectável",359
Tocantins,"Positivo / Detectável",159
"Rio Grande do Sul","Negativo / Não Detectável",410
"Rio Grande do Sul","Positivo / Detectável",91
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",248
"Ceará","Positivo / Detectável",224
"Ceará","Inconclusivo / Indeterminado",8
"Rio Grande do Norte","Positivo / Detectável",245
"Rio Grande do Norte","Negativo / Não Detectável",217
Sergipe,"Positivo / Detectável",295
Sergipe,"Negativo / Não Detectável",150
"Maranhão","Negativo / Não Detectável",286
"Maranhão","Positivo / Detectável",73
"Piauí","Negativo / Não Detectável",215
"Piauí","Positivo / Detectável",120
"Piauí","Inconclusivo / Indeterminado",3
Amazonas,"Negativo / Não Detectável",234
Amazonas,"Positivo / Detectável",62
Amazonas,"Inconclusivo / Indeterminado",1
"Amapá","Positivo / Detectável",151
"Amapá","Negativo / Não Detectável",110
"Amapá","Inconclusivo / Indeterminado",1
Roraima,"Positivo / Detectável",176
Roraima,"Negativo / Não Detectável",68
"Paraíba","Positivo / Detectável",121
"Paraíba","Negativo / Não Detectável",107
Acre,"Positivo / Detectável",125
Acre,"Negativo / Não Detectável",93
Acre,"Inconclusivo / Indeterminado",4
"Pará","Negativo / Não Detectável",134
"Pará","Positivo / Detectável",73
"Goiás","Negativo / Não Detectável",140
"Goiás","Positivo / Detectável",61
Alagoas,"Positivo / Detectável",84
Alagoas,"Negativo / Não Detectável",55
"Distrito Federal","Negativo / Não Detectável",5
"Distrito Federal","Positivo / Detectável",1
