"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.623"
"São Paulo","Positivo / Detectável",828
"São Paulo","Inconclusivo / Indeterminado",24
"Paraná","Negativo / Não Detectável","1.625"
"Paraná","Positivo / Detectável",444
"Paraná","Inconclusivo / Indeterminado",5
Bahia,"Negativo / Não Detectável","1.053"
Bahia,"Positivo / Detectável",663
Bahia,"Inconclusivo / Indeterminado",20
"Rio de Janeiro","Negativo / Não Detectável",744
"Rio de Janeiro","Positivo / Detectável",373
"Rio de Janeiro","Inconclusivo / Indeterminado",20
"Espírito Santo","Positivo / Detectável",524
"Espírito Santo","Negativo / Não Detectável",377
"Espírito Santo","Inconclusivo / Indeterminado",73
"Santa Catarina","Negativo / Não Detectável",647
"Santa Catarina","Positivo / Detectável",207
"Santa Catarina","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",415
Pernambuco,"Positivo / Detectável",325
Pernambuco,"Inconclusivo / Indeterminado",13
"Mato Grosso do Sul","Negativo / Não Detectável",608
"Mato Grosso do Sul","Positivo / Detectável",113
"Mato Grosso do Sul","Inconclusivo / Indeterminado",13
Tocantins,"Negativo / Não Detectável",399
Tocantins,"Positivo / Detectável",219
"Mato Grosso","Negativo / Não Detectável",431
"Mato Grosso","Positivo / Detectável",167
"Rio Grande do Sul","Negativo / Não Detectável",489
"Rio Grande do Sul","Positivo / Detectável",101
"Rio Grande do Sul","Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",305
"Ceará","Negativo / Não Detectável",282
"Ceará","Inconclusivo / Indeterminado",4
"Minas Gerais","Negativo / Não Detectável",467
"Minas Gerais","Positivo / Detectável",105
"Minas Gerais","Inconclusivo / Indeterminado",12
Sergipe,"Positivo / Detectável",419
Sergipe,"Negativo / Não Detectável",112
"Rondônia","Negativo / Não Detectável",230
"Rondônia","Positivo / Detectável",212
"Rondônia","Inconclusivo / Indeterminado",3
"Piauí","Negativo / Não Detectável",264
"Piauí","Positivo / Detectável",154
"Rio Grande do Norte","Positivo / Detectável",244
"Rio Grande do Norte","Negativo / Não Detectável",165
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
"Amapá","Positivo / Detectável",179
"Amapá","Negativo / Não Detectável",151
"Amapá","Inconclusivo / Indeterminado",2
"Maranhão","Negativo / Não Detectável",220
"Maranhão","Positivo / Detectável",80
Amazonas,"Negativo / Não Detectável",228
Amazonas,"Positivo / Detectável",69
Amazonas,"Inconclusivo / Indeterminado",1
"Goiás","Negativo / Não Detectável",202
"Goiás","Positivo / Detectável",47
"Pará","Positivo / Detectável",122
"Pará","Negativo / Não Detectável",112
Acre,"Positivo / Detectável",122
Acre,"Negativo / Não Detectável",98
Acre,"Inconclusivo / Indeterminado",2
"Paraíba","Positivo / Detectável",119
"Paraíba","Negativo / Não Detectável",90
Roraima,"Positivo / Detectável",145
Roraima,"Negativo / Não Detectável",26
Alagoas,"Positivo / Detectável",107
Alagoas,"Negativo / Não Detectável",32
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",2
"Distrito Federal","Inconclusivo / Indeterminado",1
