"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável","1.387"
"São Paulo","Positivo / Detectável",921
"São Paulo","Inconclusivo / Indeterminado",3
"Paraná","Negativo / Não Detectável","1.463"
"Paraná","Positivo / Detectável",558
"Paraná","Inconclusivo / Indeterminado",1
"Rio Grande do Sul","Negativo / Não Detectável",362
"Rio Grande do Sul","Positivo / Detectável",234
"Minas Gerais","Negativo / Não Detectável",454
"Minas Gerais","Positivo / Detectável",130
"Minas Gerais","Inconclusivo / Indeterminado",4
Bahia,"Negativo / Não Detectável",324
Bahia,"Positivo / Detectável",195
Bahia,"Inconclusivo / Indeterminado",1
"Mato Grosso do Sul","Negativo / Não Detectável",282
"Mato Grosso do Sul","Positivo / Detectável",201
"Santa Catarina","Negativo / Não Detectável",314
"Santa Catarina","Positivo / Detectável",106
"Rio de Janeiro","Negativo / Não Detectável",215
"Rio de Janeiro","Positivo / Detectável",166
"Rio de Janeiro","Inconclusivo / Indeterminado",5
"Espírito Santo","Negativo / Não Detectável",271
"Espírito Santo","Positivo / Detectável",114
"Espírito Santo","Inconclusivo / Indeterminado",1
"Ceará","Negativo / Não Detectável",248
"Ceará","Positivo / Detectável",75
"Ceará","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável",264
Pernambuco,"Positivo / Detectável",51
"Rio Grande do Norte","Negativo / Não Detectável",114
"Rio Grande do Norte","Positivo / Detectável",86
"Piauí","Negativo / Não Detectável",108
"Piauí","Positivo / Detectável",91
Sergipe,"Negativo / Não Detectável",156
Sergipe,"Positivo / Detectável",25
"Pará","Negativo / Não Detectável",94
"Pará","Positivo / Detectável",13
Tocantins,"Positivo / Detectável",57
Tocantins,"Negativo / Não Detectável",49
"Rondônia","Negativo / Não Detectável",77
"Rondônia","Positivo / Detectável",26
"Goiás","Negativo / Não Detectável",57
"Goiás","Positivo / Detectável",38
"Paraíba","Negativo / Não Detectável",49
"Paraíba","Positivo / Detectável",42
"Maranhão","Negativo / Não Detectável",35
"Maranhão","Positivo / Detectável",8
Alagoas,"Negativo / Não Detectável",27
Alagoas,"Positivo / Detectável",4
Amazonas,"Negativo / Não Detectável",17
Amazonas,"Positivo / Detectável",14
Acre,"Negativo / Não Detectável",22
Acre,"Positivo / Detectável",7
Roraima,"Negativo / Não Detectável",8
"Distrito Federal","Negativo / Não Detectável",4
"Distrito Federal","Positivo / Detectável",2
"Mato Grosso","Negativo / Não Detectável",1
"Mato Grosso","Positivo / Detectável",1
"Amapá","Negativo / Não Detectável",1
